"","round","female","migrant","age","education","polint","prof_training","employment","east","party_pref","internal_effic_ind","external_effic_ind","risk_aversion_ind","csp","active_sport","active_music","active_union","active_environment","active_social","active_religion","active_political","active_other","treatment","wtr_cand","wtr_engage","information","perception_risk_1","perception_risk_2","perception_envir_ind","wtr_ind_full","wtr_ind_reduc","wtr_ind_friend","wtr_work_bt","traits_1","traits_2","traits_3","traits_4","traits_5","traits_6","traits_7","third_round"
"2215",3,1,0,34,3,3,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,NA,NA,1,3,1.25,1.5,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2216",3,0,0,70,1,7,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,4,NA,NA,2,3.5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1
"2217",3,0,0,64,2,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,2,NA,NA,1,3,2.5,2,3,2,NA,NA,NA,NA,NA,NA,NA,1
"2218",3,0,0,58,3,5,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,NA,NA,1,2.75,1.25,1,1.5,1,NA,NA,NA,NA,NA,NA,NA,1
"2219",3,0,1,73,3,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,NA,NA,1,3.75,1.5,1.5,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"2220",3,1,1,74,3,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,NA,NA,3,3.25,1.5,1,2,3,NA,NA,NA,NA,NA,NA,NA,1
"2221",3,0,0,47,2,3,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,2,3.25,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
"2222",3,1,0,57,3,4,NA,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2223",3,1,1,39,3,5,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,NA,NA,4,2.5,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1
"2224",3,0,0,49,3,7,NA,NA,NA,NA,NA,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,3,4,NA,NA,2,3.25,4,3.5,4.5,4,NA,NA,NA,NA,NA,NA,NA,1
"2225",3,0,0,44,2,3,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,2,NA,NA,1,3.25,1.25,1.5,1,2,NA,NA,NA,NA,NA,NA,NA,1
