,vorname,geschlecht
1223,Heinrich,m
1224,Heinz,m
1225,Hektor,m
1226,Helen,w
1227,Helena,m
1228,Helena,w
1229,Helena-Sophia,w
1230,Helene,w
1231,Helenia,w
1232,Helga,m
1233,Helga,w
1234,Heliane,w
1235,Helin,w
1236,Helio,m
1237,Hellen,w
1238,Hellmuth,m
1239,Helmut,m
1240,Helvi,w
1241,Heming,m
1242,Hemmi,m
1243,Hendrik,m
1244,Henk,m
1245,Henni,w
1246,Henning,m
1247,Henri,m
1248,Henrick,m
1249,Henrieke,w
1250,Henriette,w
1251,Henrik,m
1252,Henrika,w
1253,Henry,m
1254,Hermann,m
1255,Hermine,w
1256,Hertha,w
1257,Hesham,m
1258,Hien,w
1259,Hieronymus,m
1260,Hilal,w
1261,Hilda,w
1262,Hilde,w
1263,Hildegard,w
1264,Hille,w
1265,Hillel,m
1266,Hilma,m
1267,Hima,w
1268,Hira,w
1269,Hiranur,w
1270,Hitomi,w
1271,Hiu-Man,w
1272,Hivda,w
1273,Hivda-Narin,w
1274,Hoi,m
1275,Hollie,w
1276,Holly,w
1277,Hope,w
1278,Hoàng,m
1279,Hubert,m
1280,Hubertus,m
1281,Hugo,m
1282,Husam,m
1283,Hussain,m
1284,Hussein,m
1285,Huxley,m
1286,Hân,w
1287,Hüma,w
1288,Hümeyra,w
1289,Hüseyin,m
1290,Hổng,m
1291,Ian,m
1292,Iana,w
1293,Ianto,m
1294,Iasonas,m
1295,Ibnat,w
1296,Ibrahim,m
1297,Ichiro,m
1298,Ida,m
1299,Ida,w
1300,Idara,w
1301,Idris,m
1302,Idrissa,m
1303,Ignacio,m
1304,Igor,m
1305,Ihlas,m
1306,Ikenna,m
1307,Ilan,m
1308,Ilaria,w
1309,Ilarya,w
1310,Ilay,m
1311,Ilayda,w
1312,Ileya,w
1313,Ilgizovna,w
1314,Iliana,w
1315,Ilias,m
1316,Ill'ič,m
1317,Illariy,w
1318,Ilma,w
1319,Ilo,m
1320,Ilona,w
1321,Ilse,w
1322,Ilva,w
1323,Ily,w
1324,Ilya,m
1325,Ilyas,m
1326,Ima,w
1327,Imad,m
1328,Imade,w
1329,Imah,w
1330,Iman,m
1331,Imani,w
1332,Imano,m
1333,Imbrescu,m
1334,Imena,w
1335,Imi,w
1336,Immanuel,m
1337,Imogen,w
1338,Imran,m
1339,Imre,m
1340,Ina,w
1341,Inan-Azad,m
1342,Inaya,w
1343,Inaê,w
1344,Inci,w
1345,Ines,w
1346,Inge,w
1347,Ingeborg,w
1348,Ingrid,w
1349,Ingridi,w
1350,Inyoman,m
1351,Io,m
1352,Ioan,m
1353,Ioanis,m
1354,Ioannis,m
1355,Iochebed-Sefora,w
1356,Ionuț,w
1357,Iphigenie,w
1358,Ira,m
1359,Irem,w
1360,Ireoluwa,w
1361,Irfan,m
1362,Irina,w
1363,Iris,w
1364,Irma,w
1365,Isa,m
1366,Isa,w
1367,Isaac,m
1368,Isabel,w
1369,Isabell,w
1370,Isabella,w
1371,Isabelle,w
1372,Isaias,m
1373,Isalie,w
1374,Isayah,m
1375,Ishaan,m
1376,Ishak,m
1377,Iskra,w
1378,Isla,w
1379,Ismail,m
1380,Ismet,m
1381,Issa,m
1382,Issmail,m
1383,Itha,w
1384,Iva,w
1385,Ivan,m
1386,Ivanka,w
1387,Ivanova,w
1388,Ivanovna,w
1389,Ivar,m
1390,Ivayla,w
1391,Ivo,m
1392,Ivy,w
1393,Iyana,w
1394,Izabela,w
1395,Ištar,w
1396,Jaane,w
1397,Jack,m
1398,Jacob,m
1399,Jacques,m
1400,Jade,w
1401,Jael,w
1402,Jaelim,m
1403,Jahn,m
1404,Jakob,m
1405,Jakoub,m
1406,Jakub,m
1407,Jale,w
1408,Jali,m
1409,Jamal,m
1410,Jamal,w
1411,Jamal-Pendo,m
1412,James,m
1413,Jamie,m
1414,Jamil,m
1415,Jamila,w
1416,Jamila-Cecilia,w
1417,Jan,m
1418,Jana,w
1419,Janick,m
1420,Janina,w
1421,Janko,m
1422,Janna,w
1423,Jannah,w
1424,Janne,m
1425,Janne,w
1426,Jannes,m
1427,Jannick,m
1428,Jannik,m
1429,Jannis,m
1430,Jano,m
1431,Janosch,m
1432,Janus,m
1433,Jara,w
1434,Jari,m
1435,Jarik,m
1436,Jarne,m
1437,Jaron,m
1438,Jascha,m
1439,Jasmin,w
1440,Jason,m
1441,Jasper,m
1442,Jatziri,w
1443,Javier,m
1444,Jay,m
1445,Jaya,w
1446,Jayden,m
1447,Jaydon,m
1448,Jean,m
1449,Jean,w
1450,Jean-Luc,m
1451,Jeanne,w
1452,Jedd,m
1453,Jedi,w
1454,Jeffrey,m
1455,Jenchira,w
1456,Jennifer,w
1457,Jenny,w
1458,Jeremy,m
1459,Jeroen,m
1460,Jerzy,m
1461,Jesenia,w
1462,Jesko,m
1463,Jesper,m
1464,Jesse,m
1465,Jessika,w
1466,Jette,w
1467,Jiahe,w
1468,Jibrail,m
