,crime,city,law,date,background,suspects,party,state,plz,city_id,bl_kuerzel,year,month,day,cycle_1,cycle_2,cycle_3,crime_count,Anzahl Bewerber,darunter Frauen,Land,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff
33,,Aidlingen,,,,,FDP,BW,71134.0,8115001.0,BW,,,,2014.0,2014.0,2014.0,0.0,6.0,1.0,8.0,0.0,0.0,0.0,0.0,right,55.0,17.0,0.0,0.0,0.0,0.0,0.16666666666666666,,0.3090909090909091,,0.05555555555555555,0.024242424242424232,,
34,,Aidlingen,,,,,GRÜNE,BW,71134.0,8115001.0,BW,,,,2014.0,2014.0,2014.0,0.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,left,55.0,17.0,0.0,0.0,0.0,0.0,0.38461538461538464,,0.3090909090909091,,0.11538461538461536,0.024242424242424232,,
35,,Aidlingen,,,,,SPD,BW,71134.0,8115001.0,BW,,,,2014.0,2014.0,2014.0,0.0,18.0,5.0,8.0,0.0,0.0,0.0,0.0,left,55.0,17.0,0.0,0.0,0.0,0.0,0.2777777777777778,,0.3090909090909091,,-0.09595959595959597,0.024242424242424232,,
36,,Altdorf,,,,,AfD,BW,71155.0,8115002.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
37,,Altdorf,,,,,CDU,BW,71155.0,8115002.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
38,,Altdorf,,,,,DIE LINKE,BW,71155.0,8115002.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
39,,Altdorf,,,,,FDP,BW,71155.0,8115002.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
40,,Altdorf,,,,,GRÜNE,BW,71155.0,8115002.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
41,,Altdorf,,,,,SPD,BW,71155.0,8115002.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
42,,Altdorf,,,,,AfD,BW,71155.0,8115002.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
43,,Altdorf,,,,,CDU,BW,71155.0,8115002.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
44,,Altdorf,,,,,DIE LINKE,BW,71155.0,8115002.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
45,,Altdorf,,,,,FDP,BW,71155.0,8115002.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
46,,Altdorf,,,,,GRÜNE,BW,71155.0,8115002.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
47,,Altdorf,,,,,SPD,BW,71155.0,8115002.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
48,,Boblingen,,,,,AfD,BW,71032.0,8115003.0,BW,,,,2019.0,2019.0,2019.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,right,141.0,63.0,0.0,0.0,0.0,0.0,0.0,,0.44680851063829785,,,-0.00034596090641758614,,
49,,Boblingen,,,,,CDU,BW,71032.0,8115003.0,BW,,,,2019.0,2019.0,2019.0,0.0,32.0,13.0,8.0,0.0,0.0,0.0,1.0,right,141.0,63.0,0.0,0.0,0.0,0.0,0.40625,,0.44680851063829785,,0.09375,-0.00034596090641758614,,
50,,Boblingen,,,,,DIE LINKE,BW,71032.0,8115003.0,BW,,,,2019.0,2019.0,2019.0,0.0,13.0,4.0,8.0,0.0,0.0,0.0,1.0,left,141.0,63.0,0.0,0.0,0.0,0.0,0.3076923076923077,,0.44680851063829785,,,-0.00034596090641758614,,
51,,Boblingen,,,,,FDP,BW,71032.0,8115003.0,BW,,,,2019.0,2019.0,2019.0,0.0,29.0,11.0,8.0,0.0,0.0,0.0,1.0,right,141.0,63.0,0.0,0.0,0.0,0.0,0.3793103448275862,,0.44680851063829785,,-0.06513409961685823,-0.00034596090641758614,,
52,Beleidigung,Boblingen,185 StGB,2019-10-24,Rechts,1.0,GRÜNE,BW,71032.0,8115003.0,BW,2019,10,24,2019.0,2019.0,2019.0,1.0,32.0,19.0,8.0,1.0,1.0,1.0,1.0,left,141.0,63.0,32.0,19.0,32.0,19.0,0.59375,0.59375,0.44680851063829785,0.59375,0.0,-0.00034596090641758614,,
53,,Boblingen,,,,,SPD,BW,71032.0,8115003.0,BW,,,,2019.0,2019.0,2019.0,0.0,32.0,16.0,8.0,0.0,0.0,0.0,1.0,left,141.0,63.0,0.0,0.0,0.0,0.0,0.5,,0.44680851063829785,,0.0625,-0.00034596090641758614,,
54,,Boblingen,,,,,AfD,BW,71032.0,8115003.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,right,123.0,55.0,0.0,0.0,0.0,0.0,,,0.44715447154471544,,,-0.00034596090641758614,,
55,,Boblingen,,,,,CDU,BW,71032.0,8115003.0,BW,,,,2014.0,2014.0,2014.0,0.0,32.0,10.0,8.0,0.0,1.0,0.0,2.0,right,123.0,55.0,0.0,0.0,0.0,0.0,0.3125,,0.44715447154471544,,0.09375,-0.00034596090641758614,,
56,,Boblingen,,,,,DIE LINKE,BW,71032.0,8115003.0,BW,,,,2014.0,2014.0,2014.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,left,123.0,55.0,0.0,0.0,0.0,0.0,,,0.44715447154471544,,,-0.00034596090641758614,,
57,,Boblingen,,,,,FDP,BW,71032.0,8115003.0,BW,,,,2014.0,2014.0,2014.0,0.0,27.0,12.0,8.0,0.0,0.0,0.0,2.0,right,123.0,55.0,0.0,0.0,0.0,0.0,0.4444444444444444,,0.44715447154471544,,-0.06513409961685823,-0.00034596090641758614,,
58,,Boblingen,,,,,GRÜNE,BW,71032.0,8115003.0,BW,,,,2014.0,2014.0,2014.0,0.0,32.0,19.0,8.0,0.0,0.0,0.0,2.0,left,123.0,55.0,0.0,0.0,0.0,0.0,0.59375,,0.44715447154471544,,0.0,-0.00034596090641758614,,
59,,Boblingen,,,,,SPD,BW,71032.0,8115003.0,BW,,,,2014.0,2014.0,2014.0,0.0,32.0,14.0,8.0,0.0,0.0,0.0,2.0,left,123.0,55.0,0.0,0.0,0.0,0.0,0.4375,,0.44715447154471544,,0.0625,-0.00034596090641758614,,
60,,Bondorf,,,,,AfD,BW,71149.0,8115004.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,32.0,9.0,0.0,0.0,0.0,0.0,,,0.28125,,,0.020380434782608703,,
61,,Bondorf,,,,,CDU,BW,71149.0,8115004.0,BW,,,,2019.0,2019.0,2019.0,0.0,14.0,3.0,8.0,0.0,0.0,0.0,0.0,right,32.0,9.0,0.0,0.0,0.0,0.0,0.21428571428571427,,0.28125,,0.10317460317460317,0.020380434782608703,,
62,,Bondorf,,,,,DIE LINKE,BW,71149.0,8115004.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,left,32.0,9.0,0.0,0.0,0.0,0.0,,,0.28125,,,0.020380434782608703,,
63,,Bondorf,,,,,FDP,BW,71149.0,8115004.0,BW,,,,2019.0,2019.0,2019.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,right,32.0,9.0,0.0,0.0,0.0,0.0,,,0.28125,,,0.020380434782608703,,
64,,Bondorf,,,,,GRÜNE,BW,71149.0,8115004.0,BW,,,,2019.0,2019.0,2019.0,0.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,left,32.0,9.0,0.0,0.0,0.0,0.0,0.5,,0.28125,,,0.020380434782608703,,
65,,Bondorf,,,,,SPD,BW,71149.0,8115004.0,BW,,,,2019.0,2019.0,2019.0,0.0,14.0,4.0,8.0,0.0,0.0,0.0,0.0,left,32.0,9.0,0.0,0.0,0.0,0.0,0.2857142857142857,,0.28125,,-0.07142857142857145,0.020380434782608703,,
