,city,party,Anzahl Bewerber,darunter Frauen,year,state,plz,city_id,Land,bl_kuerzel
87,Gartringen,FDP,10,3,2019.0,BW,71116,8115015.0,8.0,BW
88,Gartringen,GRÜNE,0,0,2019.0,BW,71116,8115015.0,8.0,BW
89,Gartringen,SPD,16,8,2019.0,BW,71116,8115015.0,8.0,BW
90,Gartringen,AfD,0.0,0.0,2014.0,BW,71116,8115015.0,8.0,BW
91,Gartringen,CDU,22.0,6.0,2014.0,BW,71116,8115015.0,8.0,BW
92,Gartringen,DIE LINKE,0.0,0.0,2014.0,BW,71116,8115015.0,8.0,BW
93,Gartringen,FDP,17.0,5.0,2014.0,BW,71116,8115015.0,8.0,BW
94,Gartringen,GRÜNE,0.0,0.0,2014.0,BW,71116,8115015.0,8.0,BW
95,Gartringen,SPD,22.0,11.0,2014.0,BW,71116,8115015.0,8.0,BW
96,Gaufelden,AfD,0,0,2019.0,BW,71126,8115016.0,8.0,BW
97,Gaufelden,CDU,12,3,2019.0,BW,71126,8115016.0,8.0,BW
98,Gaufelden,DIE LINKE,0,0,2019.0,BW,71126,8115016.0,8.0,BW
99,Gaufelden,FDP,0,0,2019.0,BW,71126,8115016.0,8.0,BW
100,Gaufelden,GRÜNE,9,5,2019.0,BW,71126,8115016.0,8.0,BW
101,Gaufelden,SPD,9,3,2019.0,BW,71126,8115016.0,8.0,BW
102,Gaufelden,AfD,0.0,0.0,2014.0,BW,71126,8115016.0,8.0,BW
103,Gaufelden,CDU,17.0,6.0,2014.0,BW,71126,8115016.0,8.0,BW
104,Gaufelden,DIE LINKE,0.0,0.0,2014.0,BW,71126,8115016.0,8.0,BW
105,Gaufelden,FDP,0.0,0.0,2014.0,BW,71126,8115016.0,8.0,BW
106,Gaufelden,GRÜNE,8.0,3.0,2014.0,BW,71126,8115016.0,8.0,BW
107,Gaufelden,SPD,0.0,0.0,2014.0,BW,71126,8115016.0,8.0,BW
108,Herrenberg,AfD,5,0,2019.0,BW,71083,8115021.0,8.0,BW
109,Herrenberg,CDU,31,7,2019.0,BW,71083,8115021.0,8.0,BW
110,Herrenberg,DIE LINKE,0,0,2019.0,BW,71083,8115021.0,8.0,BW
111,Herrenberg,FDP,14,3,2019.0,BW,71083,8115021.0,8.0,BW
112,Herrenberg,GRÜNE,32,16,2019.0,BW,71083,8115021.0,8.0,BW
113,Herrenberg,SPD,32,13,2019.0,BW,71083,8115021.0,8.0,BW
114,Herrenberg,AfD,0.0,0.0,2014.0,BW,71083,8115021.0,8.0,BW
115,Herrenberg,CDU,32.0,6.0,2014.0,BW,71083,8115021.0,8.0,BW
116,Herrenberg,DIE LINKE,0.0,0.0,2014.0,BW,71083,8115021.0,8.0,BW
117,Herrenberg,FDP,11.0,5.0,2014.0,BW,71083,8115021.0,8.0,BW
118,Herrenberg,GRÜNE,32.0,16.0,2014.0,BW,71083,8115021.0,8.0,BW
119,Herrenberg,SPD,32.0,8.0,2014.0,BW,71083,8115021.0,8.0,BW
120,Hildrizhausen,AfD,0,0,2019.0,BW,71157,8115022.0,8.0,BW
121,Hildrizhausen,CDU,8,1,2019.0,BW,71157,8115022.0,8.0,BW
122,Hildrizhausen,DIE LINKE,0,0,2019.0,BW,71157,8115022.0,8.0,BW
123,Hildrizhausen,FDP,0,0,2019.0,BW,71157,8115022.0,8.0,BW
124,Hildrizhausen,GRÜNE,0,0,2019.0,BW,71157,8115022.0,8.0,BW
125,Hildrizhausen,SPD,0,0,2019.0,BW,71157,8115022.0,8.0,BW
126,Hildrizhausen,AfD,0.0,0.0,2014.0,BW,71157,8115022.0,8.0,BW
127,Hildrizhausen,CDU,8.0,1.0,2014.0,BW,71157,8115022.0,8.0,BW
128,Hildrizhausen,DIE LINKE,0.0,0.0,2014.0,BW,71157,8115022.0,8.0,BW
129,Hildrizhausen,FDP,0.0,0.0,2014.0,BW,71157,8115022.0,8.0,BW
130,Hildrizhausen,GRÜNE,0.0,0.0,2014.0,BW,71157,8115022.0,8.0,BW
131,Hildrizhausen,SPD,3.0,1.0,2014.0,BW,71157,8115022.0,8.0,BW
132,Holzgerlingen,AfD,0,0,2019.0,BW,71088,8115024.0,8.0,BW
133,Holzgerlingen,CDU,16,5,2019.0,BW,71088,8115024.0,8.0,BW
134,Holzgerlingen,DIE LINKE,0,0,2019.0,BW,71088,8115024.0,8.0,BW
135,Holzgerlingen,FDP,0,0,2019.0,BW,71088,8115024.0,8.0,BW
136,Holzgerlingen,GRÜNE,0,0,2019.0,BW,71088,8115024.0,8.0,BW
137,Holzgerlingen,SPD,18,6,2019.0,BW,71088,8115024.0,8.0,BW
138,Holzgerlingen,AfD,0.0,0.0,2014.0,BW,71088,8115024.0,8.0,BW
139,Holzgerlingen,CDU,18.0,7.0,2014.0,BW,71088,8115024.0,8.0,BW
140,Holzgerlingen,DIE LINKE,0.0,0.0,2014.0,BW,71088,8115024.0,8.0,BW
141,Holzgerlingen,FDP,0.0,0.0,2014.0,BW,71088,8115024.0,8.0,BW
142,Holzgerlingen,GRÜNE,0.0,0.0,2014.0,BW,71088,8115024.0,8.0,BW
143,Holzgerlingen,SPD,18.0,7.0,2014.0,BW,71088,8115024.0,8.0,BW
144,Leonberg,AfD,0,0,2019.0,BW,71229,8115028.0,8.0,BW
145,Leonberg,CDU,32,11,2019.0,BW,71229,8115028.0,8.0,BW
146,Leonberg,DIE LINKE,5,3,2019.0,BW,71229,8115028.0,8.0,BW
147,Leonberg,FDP,32,11,2019.0,BW,71229,8115028.0,8.0,BW
148,Leonberg,GRÜNE,32,16,2019.0,BW,71229,8115028.0,8.0,BW
149,Leonberg,SPD,32,14,2019.0,BW,71229,8115028.0,8.0,BW
150,Leonberg,AfD,0.0,0.0,2014.0,BW,71229,8115028.0,8.0,BW
151,Leonberg,CDU,32.0,12.0,2014.0,BW,71229,8115028.0,8.0,BW
152,Leonberg,DIE LINKE,9.0,3.0,2014.0,BW,71229,8115028.0,8.0,BW
153,Leonberg,FDP,32.0,11.0,2014.0,BW,71229,8115028.0,8.0,BW
154,Leonberg,GRÜNE,32.0,17.0,2014.0,BW,71229,8115028.0,8.0,BW
155,Leonberg,SPD,32.0,16.0,2014.0,BW,71229,8115028.0,8.0,BW
156,Magstadt,AfD,0,0,2019.0,BW,71106,8115029.0,8.0,BW
157,Magstadt,CDU,14,3,2019.0,BW,71106,8115029.0,8.0,BW
158,Magstadt,DIE LINKE,0,0,2019.0,BW,71106,8115029.0,8.0,BW
159,Magstadt,FDP,0,0,2019.0,BW,71106,8115029.0,8.0,BW
160,Magstadt,GRÜNE,0,0,2019.0,BW,71106,8115029.0,8.0,BW
161,Magstadt,SPD,18,8,2019.0,BW,71106,8115029.0,8.0,BW
162,Magstadt,AfD,0.0,0.0,2014.0,BW,71106,8115029.0,8.0,BW
163,Magstadt,CDU,10.0,1.0,2014.0,BW,71106,8115029.0,8.0,BW
164,Magstadt,DIE LINKE,0.0,0.0,2014.0,BW,71106,8115029.0,8.0,BW
165,Magstadt,FDP,0.0,0.0,2014.0,BW,71106,8115029.0,8.0,BW
166,Magstadt,GRÜNE,0.0,0.0,2014.0,BW,71106,8115029.0,8.0,BW
167,Magstadt,SPD,11.0,4.0,2014.0,BW,71106,8115029.0,8.0,BW
168,Motzingen,AfD,0,0,2019.0,BW,71159,8115034.0,8.0,BW
169,Motzingen,CDU,8,2,2019.0,BW,71159,8115034.0,8.0,BW
170,Motzingen,DIE LINKE,0,0,2019.0,BW,71159,8115034.0,8.0,BW
171,Motzingen,FDP,0,0,2019.0,BW,71159,8115034.0,8.0,BW
172,Motzingen,GRÜNE,0,0,2019.0,BW,71159,8115034.0,8.0,BW
173,Motzingen,SPD,6,2,2019.0,BW,71159,8115034.0,8.0,BW
174,Motzingen,AfD,0.0,0.0,2014.0,BW,71159,8115034.0,8.0,BW
175,Motzingen,CDU,4.0,1.0,2014.0,BW,71159,8115034.0,8.0,BW
176,Motzingen,DIE LINKE,0.0,0.0,2014.0,BW,71159,8115034.0,8.0,BW
177,Motzingen,FDP,0.0,0.0,2014.0,BW,71159,8115034.0,8.0,BW
178,Motzingen,GRÜNE,0.0,0.0,2014.0,BW,71159,8115034.0,8.0,BW
179,Motzingen,SPD,6.0,2.0,2014.0,BW,71159,8115034.0,8.0,BW
180,Nufringen,AfD,0,0,2019.0,BW,71154,8115037.0,8.0,BW
181,Nufringen,CDU,14,3,2019.0,BW,71154,8115037.0,8.0,BW
182,Nufringen,DIE LINKE,0,0,2019.0,BW,71154,8115037.0,8.0,BW
183,Nufringen,FDP,0,0,2019.0,BW,71154,8115037.0,8.0,BW
184,Nufringen,GRÜNE,0,0,2019.0,BW,71154,8115037.0,8.0,BW
185,Nufringen,SPD,13,1,2019.0,BW,71154,8115037.0,8.0,BW
186,Nufringen,AfD,0.0,0.0,2014.0,BW,71154,8115037.0,8.0,BW
187,Nufringen,CDU,14.0,1.0,2014.0,BW,71154,8115037.0,8.0,BW
188,Nufringen,DIE LINKE,0.0,0.0,2014.0,BW,71154,8115037.0,8.0,BW
189,Nufringen,FDP,0.0,0.0,2014.0,BW,71154,8115037.0,8.0,BW
190,Nufringen,GRÜNE,0.0,0.0,2014.0,BW,71154,8115037.0,8.0,BW
191,Nufringen,SPD,14.0,6.0,2014.0,BW,71154,8115037.0,8.0,BW
192,Renningen,AfD,0,0,2019.0,BW,71272,8115041.0,8.0,BW
193,Renningen,CDU,22,9,2019.0,BW,71272,8115041.0,8.0,BW
194,Renningen,DIE LINKE,0,0,2019.0,BW,71272,8115041.0,8.0,BW
195,Renningen,FDP,10,2,2019.0,BW,71272,8115041.0,8.0,BW
196,Renningen,GRÜNE,22,13,2019.0,BW,71272,8115041.0,8.0,BW
197,Renningen,SPD,22,10,2019.0,BW,71272,8115041.0,8.0,BW
198,Renningen,AfD,0.0,0.0,2014.0,BW,71272,8115041.0,8.0,BW
199,Renningen,CDU,22.0,6.0,2014.0,BW,71272,8115041.0,8.0,BW
200,Renningen,DIE LINKE,0.0,0.0,2014.0,BW,71272,8115041.0,8.0,BW
201,Renningen,FDP,0.0,0.0,2014.0,BW,71272,8115041.0,8.0,BW
202,Renningen,GRÜNE,22.0,12.0,2014.0,BW,71272,8115041.0,8.0,BW
203,Renningen,SPD,22.0,6.0,2014.0,BW,71272,8115041.0,8.0,BW
204,Rutesheim,AfD,0,0,2019.0,BW,71277,8115042.0,8.0,BW
205,Rutesheim,CDU,17,8,2019.0,BW,71277,8115042.0,8.0,BW
206,Rutesheim,DIE LINKE,0,0,2019.0,BW,71277,8115042.0,8.0,BW
207,Rutesheim,FDP,0,0,2019.0,BW,71277,8115042.0,8.0,BW
208,Rutesheim,GRÜNE,0,0,2019.0,BW,71277,8115042.0,8.0,BW
209,Rutesheim,SPD,18,5,2019.0,BW,71277,8115042.0,8.0,BW
210,Rutesheim,AfD,0.0,0.0,2014.0,BW,71277,8115042.0,8.0,BW
211,Rutesheim,CDU,14.0,7.0,2014.0,BW,71277,8115042.0,8.0,BW
212,Rutesheim,DIE LINKE,0.0,0.0,2014.0,BW,71277,8115042.0,8.0,BW
213,Rutesheim,FDP,0.0,0.0,2014.0,BW,71277,8115042.0,8.0,BW
214,Rutesheim,GRÜNE,0.0,0.0,2014.0,BW,71277,8115042.0,8.0,BW
215,Rutesheim,SPD,10.0,2.0,2014.0,BW,71277,8115042.0,8.0,BW
216,Schonaich,AfD,0,0,2019.0,BW,71101,8115044.0,8.0,BW
217,Schonaich,CDU,0,0,2019.0,BW,71101,8115044.0,8.0,BW
218,Schonaich,DIE LINKE,0,0,2019.0,BW,71101,8115044.0,8.0,BW
219,Schonaich,FDP,0,0,2019.0,BW,71101,8115044.0,8.0,BW
220,Schonaich,GRÜNE,18,9,2019.0,BW,71101,8115044.0,8.0,BW
221,Schonaich,SPD,18,8,2019.0,BW,71101,8115044.0,8.0,BW
222,Schonaich,AfD,0.0,0.0,2014.0,BW,71101,8115044.0,8.0,BW
223,Schonaich,CDU,0.0,0.0,2014.0,BW,71101,8115044.0,8.0,BW
224,Schonaich,DIE LINKE,0.0,0.0,2014.0,BW,71101,8115044.0,8.0,BW
225,Schonaich,FDP,0.0,0.0,2014.0,BW,71101,8115044.0,8.0,BW
226,Schonaich,GRÜNE,18.0,7.0,2014.0,BW,71101,8115044.0,8.0,BW
227,Schonaich,SPD,18.0,6.0,2014.0,BW,71101,8115044.0,8.0,BW
228,Sindelfingen,AfD,3,0,2019.0,BW,71063,8115045.0,8.0,BW
229,Sindelfingen,CDU,40,9,2019.0,BW,71063,8115045.0,8.0,BW
230,Sindelfingen,DIE LINKE,17,5,2019.0,BW,71063,8115045.0,8.0,BW
231,Sindelfingen,FDP,38,8,2019.0,BW,71063,8115045.0,8.0,BW
232,Sindelfingen,GRÜNE,40,23,2019.0,BW,71063,8115045.0,8.0,BW
233,Sindelfingen,SPD,40,15,2019.0,BW,71063,8115045.0,8.0,BW
234,Sindelfingen,AfD,0.0,0.0,2014.0,BW,71063,8115045.0,8.0,BW
235,Sindelfingen,CDU,40.0,9.0,2014.0,BW,71063,8115045.0,8.0,BW
236,Sindelfingen,DIE LINKE,15.0,5.0,2014.0,BW,71063,8115045.0,8.0,BW
237,Sindelfingen,FDP,27.0,5.0,2014.0,BW,71063,8115045.0,8.0,BW
238,Sindelfingen,GRÜNE,40.0,20.0,2014.0,BW,71063,8115045.0,8.0,BW
239,Sindelfingen,SPD,40.0,16.0,2014.0,BW,71063,8115045.0,8.0,BW
240,Steinenbronn,AfD,0,0,2019.0,BW,71144,8115046.0,8.0,BW
241,Steinenbronn,CDU,14,3,2019.0,BW,71144,8115046.0,8.0,BW
242,Steinenbronn,DIE LINKE,0,0,2019.0,BW,71144,8115046.0,8.0,BW
243,Steinenbronn,FDP,0,0,2019.0,BW,71144,8115046.0,8.0,BW
244,Steinenbronn,GRÜNE,0,0,2019.0,BW,71144,8115046.0,8.0,BW
245,Steinenbronn,SPD,10,5,2019.0,BW,71144,8115046.0,8.0,BW
246,Steinenbronn,AfD,0.0,0.0,2014.0,BW,71144,8115046.0,8.0,BW
247,Steinenbronn,CDU,14.0,4.0,2014.0,BW,71144,8115046.0,8.0,BW
248,Steinenbronn,DIE LINKE,0.0,0.0,2014.0,BW,71144,8115046.0,8.0,BW
249,Steinenbronn,FDP,0.0,0.0,2014.0,BW,71144,8115046.0,8.0,BW
250,Steinenbronn,GRÜNE,0.0,0.0,2014.0,BW,71144,8115046.0,8.0,BW
251,Steinenbronn,SPD,14.0,3.0,2014.0,BW,71144,8115046.0,8.0,BW
252,Waldenbuch,AfD,0,0,2019.0,BW,71111,8115048.0,8.0,BW
253,Waldenbuch,CDU,18,7,2019.0,BW,71111,8115048.0,8.0,BW
254,Waldenbuch,DIE LINKE,0,0,2019.0,BW,71111,8115048.0,8.0,BW
255,Waldenbuch,FDP,0,0,2019.0,BW,71111,8115048.0,8.0,BW
256,Waldenbuch,GRÜNE,9,5,2019.0,BW,71111,8115048.0,8.0,BW
257,Waldenbuch,SPD,18,7,2019.0,BW,71111,8115048.0,8.0,BW
258,Waldenbuch,AfD,0.0,0.0,2014.0,BW,71111,8115048.0,8.0,BW
259,Waldenbuch,CDU,18.0,7.0,2014.0,BW,71111,8115048.0,8.0,BW
260,Waldenbuch,DIE LINKE,0.0,0.0,2014.0,BW,71111,8115048.0,8.0,BW
261,Waldenbuch,FDP,0.0,0.0,2014.0,BW,71111,8115048.0,8.0,BW
262,Waldenbuch,GRÜNE,0.0,0.0,2014.0,BW,71111,8115048.0,8.0,BW
263,Waldenbuch,SPD,18.0,7.0,2014.0,BW,71111,8115048.0,8.0,BW
264,Weil der Stadt,AfD,3,0,2019.0,BW,71263,8115050.0,8.0,BW
265,Weil der Stadt,CDU,20,3,2019.0,BW,71263,8115050.0,8.0,BW
266,Weil der Stadt,DIE LINKE,0,0,2019.0,BW,71263,8115050.0,8.0,BW
267,Weil der Stadt,FDP,14,6,2019.0,BW,71263,8115050.0,8.0,BW
268,Weil der Stadt,GRÜNE,22,8,2019.0,BW,71263,8115050.0,8.0,BW
269,Weil der Stadt,SPD,14,4,2019.0,BW,71263,8115050.0,8.0,BW
270,Weil der Stadt,AfD,0.0,0.0,2014.0,BW,71263,8115050.0,8.0,BW
271,Weil der Stadt,CDU,19.0,4.0,2014.0,BW,71263,8115050.0,8.0,BW
272,Weil der Stadt,DIE LINKE,0.0,0.0,2014.0,BW,71263,8115050.0,8.0,BW
273,Weil der Stadt,FDP,15.0,4.0,2014.0,BW,71263,8115050.0,8.0,BW
274,Weil der Stadt,GRÜNE,20.0,7.0,2014.0,BW,71263,8115050.0,8.0,BW
275,Weil der Stadt,SPD,19.0,6.0,2014.0,BW,71263,8115050.0,8.0,BW
276,Weil im Schonbuch,AfD,0,0,2019.0,BW,71093,8115051.0,8.0,BW
277,Weil im Schonbuch,CDU,19,3,2019.0,BW,71093,8115051.0,8.0,BW
278,Weil im Schonbuch,DIE LINKE,0,0,2019.0,BW,71093,8115051.0,8.0,BW
279,Weil im Schonbuch,FDP,0,0,2019.0,BW,71093,8115051.0,8.0,BW
280,Weil im Schonbuch,GRÜNE,12,7,2019.0,BW,71093,8115051.0,8.0,BW
281,Weil im Schonbuch,SPD,8,4,2019.0,BW,71093,8115051.0,8.0,BW
282,Weil im Schonbuch,AfD,0.0,0.0,2014.0,BW,71093,8115051.0,8.0,BW
283,Weil im Schonbuch,CDU,20.0,6.0,2014.0,BW,71093,8115051.0,8.0,BW
284,Weil im Schonbuch,DIE LINKE,0.0,0.0,2014.0,BW,71093,8115051.0,8.0,BW
285,Weil im Schonbuch,FDP,0.0,0.0,2014.0,BW,71093,8115051.0,8.0,BW
286,Weil im Schonbuch,GRÜNE,0.0,0.0,2014.0,BW,71093,8115051.0,8.0,BW
287,Weil im Schonbuch,SPD,8.0,2.0,2014.0,BW,71093,8115051.0,8.0,BW
288,Weissach,AfD,0,0,2019.0,BW,71287,8115052.0,8.0,BW
289,Weissach,CDU,0,0,2019.0,BW,71287,8115052.0,8.0,BW
290,Weissach,DIE LINKE,0,0,2019.0,BW,71287,8115052.0,8.0,BW
291,Weissach,FDP,0,0,2019.0,BW,71287,8115052.0,8.0,BW
292,Weissach,GRÜNE,18,10,2019.0,BW,71287,8115052.0,8.0,BW
293,Weissach,SPD,5,2,2019.0,BW,71287,8115052.0,8.0,BW
294,Weissach,AfD,0.0,0.0,2014.0,BW,71287,8115052.0,8.0,BW
295,Weissach,CDU,0.0,0.0,2014.0,BW,71287,8115052.0,8.0,BW
296,Weissach,DIE LINKE,0.0,0.0,2014.0,BW,71287,8115052.0,8.0,BW
297,Weissach,FDP,0.0,0.0,2014.0,BW,71287,8115052.0,8.0,BW
298,Weissach,GRÜNE,0.0,0.0,2014.0,BW,71287,8115052.0,8.0,BW
299,Weissach,SPD,0.0,0.0,2014.0,BW,71287,8115052.0,8.0,BW
300,Jettingen,AfD,0,0,2019.0,BW,71131,8115053.0,8.0,BW
301,Jettingen,CDU,17,4,2019.0,BW,71131,8115053.0,8.0,BW
302,Jettingen,DIE LINKE,0,0,2019.0,BW,71131,8115053.0,8.0,BW
303,Jettingen,FDP,0,0,2019.0,BW,71131,8115053.0,8.0,BW
304,Jettingen,GRÜNE,5,1,2019.0,BW,71131,8115053.0,8.0,BW
305,Jettingen,SPD,8,2,2019.0,BW,71131,8115053.0,8.0,BW
306,Jettingen,AfD,0.0,0.0,2014.0,BW,71131,8115053.0,8.0,BW
307,Jettingen,CDU,18.0,5.0,2014.0,BW,71131,8115053.0,8.0,BW
308,Jettingen,DIE LINKE,0.0,0.0,2014.0,BW,71131,8115053.0,8.0,BW
309,Jettingen,FDP,0.0,0.0,2014.0,BW,71131,8115053.0,8.0,BW
310,Jettingen,GRÜNE,0.0,0.0,2014.0,BW,71131,8115053.0,8.0,BW
311,Jettingen,SPD,12.0,4.0,2014.0,BW,71131,8115053.0,8.0,BW
312,Grafenau,AfD,0,0,2019.0,BW,71120,8115054.0,8.0,BW
