,crime,city,law,date,background,suspects,party,Land
337,,Angelburg,,,,,,6
338,,Anger,,,,,,9
339,Sachbeschadigung,Angermunde,STGB-303,12.08.2019,Links,0,AfD,12
340,Sachbeschadigung,Angermunde,STGB-303,12.08.2019,Links,0,AfD,12
341,,Angern,,,,,,15
342,,Anhausen,,,,,,7
343,,Ankershagen,,,,,,13
344,Diebstahl,Anklam,Â§ 242 StGB,24.05.2019,Links,0,AfD,13
345,Diebstahl,Anklam,Â§ 242 StGB,06.06.2019,Nicht zuzuordnen,0,CDU,13
346,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Ankum,Â§ 86a StGB,18.05.2019,Rechts,0,CDU,3
347,Sachbeschadigung,Annaberg-Buchholz,STGB-303,10.08.2019,Links,0,AfD,14
348,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Annaberg-Buchholz,Â§ 86a StGB,28.04.2019,Links,0,AfD,14
349,Sachbeschadigung,Annaberg-Buchholz,Â§ 303 StGB,07.05.2019,Links,0,AfD,14
350,Diebstahl,Annaberg-Buchholz,Â§ 242 StGB,09.05.2019,Links,0,AfD,14
351,Sachbeschadigung,Annaberg-Buchholz,STGB-303,10.08.2019,Links,0,AfD,14
352,,Annaburg,,,,,,15
353,,Annathaler Wald,,,,,,9
354,,Annweiler am Trifels,,,,,,7
355,,Anrochte,,,,,,5
356,,Anrode,,,,,,16
357,,Ansbach,,,,,,9
358,,Anschau,,,,,,7
359,,Antdorf,,,,,,9
360,,Antrifttal,,,,,,6
361,,Antweiler,,,,,,7
362,,Anzing,,,,,,9
363,,Anzinger Forst,,,,,,9
364,,Apelern,,,,,,3
365,,Apen,,,,,,3
366,,Apenburg-Winterfeld,,,,,,15
367,Bedrohung,Apensen,Â§ 241 StGB,13.06.2019,Nicht zuzuordnen,1,CDU,3
368,,Apfeldorf,,,,,,9
369,,Apfeltrach,,,,,,9
370,,Apolda,,,,,,16
371,,Appel,,,,,,3
372,Diebstahl,Appen,Â§ 242 StGB,27.05.2019,Links,0,AfD,1
373,,Appenheim,,,,,,7
374,,Appenweier,,,,,,8
375,,Arbach,,,,,,7
376,,Arberg,,,,,,9
377,,Aremberg,,,,,,7
378,,Arendsee (Altmark),,,,,,15
379,,Arenrath,,,,,,7
380,,Arenshausen,,,,,,16
381,,Aresing,,,,,,9
382,,Arft,,,,,,7
383,,Argenbuhl,,,,,,8
384,,Argenschwang,,,,,,7
385,,Argenthal,,,,,,7
386,,Arholzen,,,,,,3
387,,Arkebek,,,,,,1
388,,Arlewatt,,,,,,1
389,,Armsheim,,,,,,7
390,,Armstedt,,,,,,1
391,,Armstorf,,,,,,3
392,,Arnbruck,,,,,,9
393,,Arneburg,,,,,,15
394,,Arnis,,,,,,1
395,,Arnsberg,,,,,,5
396,Diebstahl,Arnschwang,Â§ 242 StGB,06.05.2019,Links,0,AfD,9
397,Diebstahl,Arnschwang,Â§ 242 StGB,29.05.2019,Links,0,AfD,9
398,,Arnsdorf,,,,,,14
399,,Arnshofen,,,,,,7
400,Sachbeschadigung,Arnstadt,STGB-303,20.09.2019,Rechts,0,SPD,16
401,Sachbeschadigung,Arnstadt,Â§ 303 StGB,03.05.2019,Links,3,AfD,16
402,Sachbeschadigung,Arnstadt,Â§ 303 StGB,04.05.2019,Nicht zuzuordnen,0,CDU,16
403,Sachbeschadigung,Arnstadt,Â§ 303 StGB,05.05.2019,Rechts,0,Sonstige Partei,16
404,Sachbeschadigung,Arnstadt,Â§ 303 StGB,12.05.2019,Nicht zuzuordnen,0,FDP,16
405,Sachbeschadigung,Arnstadt,STGB-303,20.09.2019,Rechts,0,SPD,16
406,Sachbeschadigung,Arnstadt,Â§ 303 StGB,11.11.2019,Links,0,AfD,16
407,Uble Nachrede,Arnstadt,Â§ 188 StGB,01.10.2019,Nicht zuzuordnen,0,CDU,16
408,Uble Nachrede,Arnstadt,Â§ 188 StGB,24.10.2019,Nicht zuzuordnen,0,GRÜNE,16
409,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Arnstadt,Â§ 86a StGB,11.11.2019,Links,0,AfD,16
410,Sachbeschadigung,Arnstadt,STGB-303,20.09.2019,Rechts,0,SPD,16
411,Sachbeschadigung,Arnstadt,Â§ 303 StGB,03.05.2019,Links,3,Sonstige Partei,16
412,Uble Nachrede,Arnstadt,Â§ 188 StGB,24.10.2019,Nicht zuzuordnen,0,CDU,16
413,,Arnstorf,,,,,,9
414,,Arpsdorf,,,,,,1
415,,Arrach,,,,,,9
416,Sachbeschadigung,Artern,Â§ 303 StGB,12.05.2019,Links,0,AfD,16
417,,Artlenburg,,,,,,3
418,,Arzbach,,,,,,7
419,,Arzfeld,,,,,,7
420,,Asbach-Baumenheim,,,,,,9
421,,Asbach-Sickenberg,,,,,,16
422,,Ascha,,,,,,9
423,Sachbeschadigung,Aschaffenburg,Â§ 303 StGB,07.05.2019,Links,0,CSU,9
424,Besonders schwerer Fall des Diebstahls,Aschaffenburg,Â§ 243 StGB,13.12.2019,Nicht zuzuordnen,0,SPD,9
425,,Aschau a.Inn,,,,,,9
426,,Aschau i.Chiemgau,,,,,,9
427,,Aschbach,,,,,,7
428,,Ascheberg,,,,,,5
429,,Ascheberg (Holstein),,,,,,1
430,,Ascheffel,,,,,,1
431,,Aschersleben,,,,,,15
432,,Aschheim,,,,,,9
433,,Aspach,,,,,,8
434,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Asperg,Â§ 86a StGB,23.04.2019,Rechts,0,SPD,8
435,,Aspisheim,,,,,,7
436,,Assamstadt,,,,,,8
437,,Asselfingen,,,,,,8
438,,Asslar,,,,,,6
439,,Assling,,,,,,9
440,,Astert,,,,,,7
441,Diebstahl,Attendorn,Â§ 242 StGB,29.05.2019,Rechts,0,SPD,5
442,Bedrohung,Attendorn,Â§ 241 StGB,24.11.2019,Rechts,0,AfD,5
443,,Attenhausen,,,,,,7
444,,Attenhofen,,,,,,9
445,,Attenkirchen,,,,,,9
446,,Attenweiler,,,,,,8
447,,Atting,,,,,,9
448,,Atzelgift,,,,,,7
449,,Au,,,,,,8
450,,Au am Rhein,,,,,,8
451,,Au i.d.Hallertau,,,,,,9
452,,Aub,,,,,,9
453,,Aubstadt,,,,,,9
454,,Auderath,,,,,,7
455,,Aue-Bad Schlema,,,,,,14
456,,Auel,,,,,,7
457,,Auen,,,,,,7
458,,Auengrund,,,,,,16
459,,Auenwald,,,,,,8
460,,Auerbach i.d.OPf.,,,,,,9
461,,Auerbach/Vogtl.,,,,,,14
462,Diebstahl und Unterschlagung geringwertiger Sachen,Auetal,Â§ 248a StGB,04.05.2019,Links,0,AfD,3
463,,Aufhausen,,,,,,9
464,,Aufsess,,,,,,9
465,,Auggen,,,,,,8
466,Sachbeschadigung,Augsburg,Â§ 303 StGB,13.04.2019,Nicht zuzuordnen,0,SPD,9
467,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Augsburg,Â§ 86a StGB,26.04.2019,Links,0,CSU,9
468,,Augustdorf,,,,,,5
469,Sachbeschadigung,Augustusburg,Â§ 303 StGB,24.04.2019,Links,0,AfD,14
470,Diebstahl,Augustusburg,Â§ 242 StGB,24.04.2019,Links,0,AfD,14
471,Diebstahl,Augustusburg,Â§ 242 StGB,24.04.2019,Links,0,AfD,14
472,Diebstahl,Augustusburg,Â§ 242 StGB,02.05.2019,Links,0,AfD,14
473,Diebstahl,Augustusburg,Â§ 242 StGB,06.05.2019,Links,0,AfD,14
474,Diebstahl,Augustusburg,Â§ 242 StGB,13.05.2019,Links,0,AfD,14
475,Diebstahl,Augustusburg,Â§ 242 StGB,27.05.2019,Links,0,AfD,14
476,Diebstahl,Augustusburg,Â§ 242 StGB,27.05.2019,Links,0,Sonstige Partei,14
477,,Auhagen,,,,,,3
478,,Auhausen,,,,,,9
479,,Aukrug,,,,,,1
480,,Aulendorf,,,,,,8
481,,Aull,,,,,,7
482,,Auma-Weidatal,,,,,,16
483,,Aumuhle,,,,,,1
484,,Aura a.d.Saale,,,,,,9
485,,Aura i.Sinngrund,,,,,,9
486,,Aurach,,,,,,9
487,,Aurachtal,,,,,,9
488,Sachbeschadigung,Aurich,Â§ 303 StGB,30.04.2019,Nicht zuzuordnen,0,SPD,3
489,Sachbeschadigung,Aurich,Â§ 303 StGB,30.04.2019,Nicht zuzuordnen,0,SPD,3
490,Diebstahl,Aurich,Â§ 242 StGB,11.05.2019,Links,0,AfD,3
491,,Ausacker,,,,,,1
492,,Ausleben,,,,,,15
493,,Aussernzell,,,,,,9
494,,Auufer,,,,,,1
495,,Auw an der Kyll,,,,,,7
496,,Auw bei Prum,,,,,,7
497,,Auwald,,,,,,9
498,,Aventoft,,,,,,1
499,,Averlak,,,,,,1
500,,Axstedt,,,,,,3
501,,Aying,,,,,,9
502,,Ayl,,,,,,7
503,,Aystetten,,,,,,9
504,,Baabe,,,,,,13
505,,Baar,,,,,,7
506,,Baar (Schwaben),,,,,,9
507,,Baar-Ebenhausen,,,,,,9
508,,Babensham,,,,,,9
509,,Bach a.d.Donau,,,,,,9
510,,Bacharach,,,,,,7
511,,Bachenberg,,,,,,7
512,,Bachhagel,,,,,,9
