day;place;suspects;background;law;crime;party_1;party_2;party_3;party_4;party_5;;
18.07.2019;Plauen;0;Rechts;STGB-185;Beleidigung;CDU;;;;;;
19.07.2019;Neuruppin;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
19.07.2019;Templin;0;Links;STGB-242;Diebstahl;AfD;;;;;;
19.07.2019;Juterbog;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
19.07.2019;Wittenberge;1;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
19.07.2019;Brieselang;1;Rechts;STGB-303;Sachbeschadigung;Sonstige;;;;;;
19.07.2019;Bordesholm;0;Rechts;STGB-241;Bedrohung;SPD;;;;;;
20.07.2019;Luckenwalde;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
20.07.2019;Dahme;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
20.07.2019;Berlin;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;Gefahrliche;;;;;;;
20.07.2019;Munchen;0;Links;STGB-224;Korperverletzung;AfD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
20.07.2019;Glauchau;0;Rechts;STGB-86A;Organisationen;CDU;;;;;;
21.07.2019;Ziesar;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
21.07.2019;Berlin;0;Nicht zuzuordnen;STGB-186;(A)Le Nachrede;SPD;;;;;;
22.07.2019;Kothen;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;AfD;;;;;;
;Blankenfelde-;;;;;;;;;;;
22.07.2019;Ma hlow;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
22.07.2019;Berlin;0;Rechts;STGB-185;Beleidigung;CSU;;;;;;
22.07.2019;Gelsenkirchen;0;Rechts;STGB-241;Bedrohung;Sonstige;;;;;;
23.07.2019;Schonefeld;1;Links;STGB-185;Beleidigung;AfD;;;;;;
;;;;;Gefahrliche;;;;;;;
23.07.2019;Berlin;0;Links;STGB-224;Korperverletzung;CDU;;;;;;
23.07.2019;Karlsruhe;1;Nicht zuzuordnen;STGB-185;Beleidigung;Biindnis 90/Die Griinen;;;;;;
23.07.2019;LUbeck;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;;;;;;;;
;;;;;Herbeifilihren einer;;;;;;;
23.07.2019;Zittau;0;Rechts;STGB-308;Sprengstoffexp[osion;Die Linke;;;;;;
23.07.2019;Chemnitz;1;Rechts;STGB-185;Beleidigung;Bilindnis 90/Die Grunen;;;;;;
23.07.2019;Plauen;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
23.07.2019;Chemnitz;1;Nicht zuzuordnen;STGB-185;Beleidigung;SPD;;;;;;
23.07.2019;Naunhof;0;Rechts;STGB-240;Notigung;Die Linke;;;;;;
24.07.2019;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;Bundnis 90/Die Grunen;;;;;;
24.07.2019;Freiburg;1;Links;STGB-185;Beleidigung;AfD;;;;;;
;;;;;VerstoR gegen das;;;;;;;
24.07.2019;Freiburg;0;Links;VERSG;Versammlungsgesetz;AfD;;;;;;
24.07.2019;Crimmitschau;2;Nicht zuzuordnen;STGB-303;Sachbeschadigung;FDP;;;;;;
25.07.2019;Wittenberge;1;Links;STGB-185;Beleidigung;AfD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
25.07.2019;Premnitz;0;Rechts;STGB-86A;Organisationen;SPD;;;;;;
25.07.2019;Cottbus;2;Links;STGB-185;Beleidigung;AfD;;;;;;
25.07.2019;Stuttgart;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;Verleumdung — ohne;;;;;;;
25.07.2019;Stuttgart;0;Links;STGB-187;sexueE[e Grundlage;AfD;;;;;;
25.07.2019;Leipzig;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
25.07.2019;Glauchau;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;Gefahrlicher Eingriff in;;;;;;;
26.07.2019;Potsdam;0;Rechts;STGB-315B;den StraRenverkehr;Die Linke;;;;;;
26.07.2019;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;Biindnis 90/Die Grunen;;;;;;
;;;;;Gefahrlicher Eingriff in;;;;;;;
26.07.2019;Konstanz;0;Nicht zuzuordnen;STGB-315B;den StraRenverkehr;Biindnis 90/Die Grunen;;;;;;
;;;;;Missbrauch von Titein,;;;;;;;
;;;;;Berufsbezeichnungen;;;;;;;
26.07.2019;Dresden;0;Rechts;STGB-132A;and Abzeichen;Sonstige;;;;;;
27.07.2019;Falkensee;0;Rechts;STGB-86A;Verwenden von;AfD;;;;;;
;;;;;;;;;;;;
27.07.2019;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;Bilindnis 90/Die Grunen;;;;;;
27.07.2019;Dresden;0;Links;STGB-185;Beleidigung;AfD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
27.07.2019;Leipzig;0;Rechts;STGB-86A;Organisationen;Die Linke;;;;;;
28.07.2019;Arendsee;0;Links;STGB-211;Mord;AfD;;;;;;
28.07.2019;Colditz;0;Rechts;STGB-240;Notigung;Die Linke;;;;;;
29.07.2019;Zeuthen;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
29.07.2019;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;Bundnis 90/Die &linen;;;;;;
29.07.2019;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;Bundnis 90/Die Grunen;;;;;;
29.07.2019;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;Bundnis 90/Die Grunen;;;;;;
29.07.2019;Leipzig;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
29.07.2019;Breitenbrunn;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;Bundnis 90/Die Grunen;;;;;;
29.07.2019;Oederan;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
30.07.2019;Eichwalde;0;Links;STGB-185;Beleidigung;AfD;;;;;;
30.07.2019;Luckenwalde;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;VerstoR gegen das;;;;;;;
30.07.2019;Berlin;0;Links;KUG;Kunsturhebergesetz;AfD;;;;;;
30.07.2019;Goslar;0;Nicht zuzuordnen;STGB-202A;Ausspahen von Daten;CDU;;;;;;
30.07.2019;Neuwied;0;Rechts;STGB-185;Beleidigung;SPD;;;;;;
30.07.2019;Kiel;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
