,size,pop,pop_male,pop_female,density,plz,longitude,latitude,travel_sig,degree_of_urban
12081,"15,7",1047.0,531.0,516.0,67.0,86872.0,"10,640778","48,180734",Bayerisch-Schwaben,gering besiedelt
12082,"12,74",1092.0,546.0,546.0,86.0,86877.0,"10,590536","48,226285",Bayerisch-Schwaben,gering besiedelt
12084,"39,05",5192.0,2592.0,2600.0,133.0,86845.0,"10,781536","48,228812",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12085,"15,66",1295.0,670.0,625.0,83.0,86507.0,"10,840706","48,219286",Bayerisch-Schwaben,gering besiedelt
12086,"8,6",1737.0,862.0,875.0,202.0,86507.0,"10,85721","48,238311",Bayerisch-Schwaben,gering besiedelt
12088,"2,36",2960.0,1484.0,1476.0,1254.0,86836.0,"10,829978","48,158939",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12089,"16,02",6990.0,3453.0,3537.0,436.0,86836.0,"10,814241","48,160674",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12091,"14,55",1580.0,804.0,776.0,109.0,86856.0,"10,718065","48,161613",Bayerisch-Schwaben,gering besiedelt
12092,"42,1",3909.0,1983.0,1926.0,93.0,86853.0,"10,759404","48,142528",Bayerisch-Schwaben,gering besiedelt
12094,"3,28",0.0,0.0,0.0,0.0,,"10,517877","48,319902",Bayerisch-Schwaben,gering besiedelt
12097,"64,2",3691.0,1851.0,1840.0,57.0,86657.0,"10,617074","48,714739",Bayerisch-Schwaben,gering besiedelt
12099,"59,49",5936.0,3077.0,2859.0,100.0,86647.0,"10,721496","48,604377",Bayerisch-Schwaben,gering besiedelt
12101,"75,59",19149.0,9460.0,9689.0,253.0,89407.0,"10,496633","48,577159",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12103,"44,39",11060.0,5519.0,5541.0,249.0,89415.0,"10,429935","48,570341",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12105,"7,35",1358.0,690.0,668.0,185.0,89431.0,"10,312137","48,546161",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12106,"54,06",7808.0,3948.0,3860.0,144.0,89423.0,"10,367549","48,549064",Bayerisch-Schwaben,mittlere Besiedlungsdichte
12107,"17,81",1596.0,804.0,792.0,90.0,89437.0,"10,377094","48,597246",Bayerisch-Schwaben,gering besiedelt
12108,"17,09",1022.0,530.0,492.0,60.0,89441.0,"10,318138","48,567599",Bayerisch-Schwaben,gering besiedelt
12110,"19,74",2237.0,1109.0,1128.0,113.0,89429.0,"10,321505","48,632815",Bayerisch-Schwaben,gering besiedelt
12111,"16,64",3759.0,1858.0,1901.0,226.0,89428.0,"10,301133","48,657789",Bayerisch-Schwaben,gering besiedelt
