Lfd Nr;Tatzeit;Tatort;TV;PHB;Zähldelikt;Bezeichnung;Betroffene Partei
35;09.11.2020;München;0;Links;§ 303 StGB;Sachbeschädigung;AfD
36;28.10.2020;Rehau;0;Links;§ 185 StGB;Beleidigung;AfD
37;01.11.2020;München;0;Religiöse Ideologie;§ 241 StGB;Bedrohung;AfD
38;26.11.2020;München;0;Links;§ 303 StGB;Sachbeschädigung;AfD
39;27.11.2020;München;0;Links;§ 188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;AfD
40;03.12.2020;Hergatz;0;Links;§ 185 StGB;Beleidigung;AfD
41;16.10.2020;München;0;Links;§ 242 StGB;Diebstahl;AfD
42;25.11.2020;Schweinfurt;0;Nicht zuzuordnen;§ 111 StGB;Öffentliche Aufforderung zu Straftaten;Sonstige
43;08.12.2020;München;0;Nicht zuzuordnen;§ 86a StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;CSU
44;14.12.2020;Memmingen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
