Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
336;10.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
337;16.08.2020;Oer-Erkenschwick;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
338;14.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
339;16.08.2020;Gladbeck;0;Nicht zuzuordnen;STGB-242;Diebstahl;AfD
340;15.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
341;10.08.2020;Haltern am See;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
342;17.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;SPD
343;24.08.2020;Dorsten;0;Nicht zuzuordnen;STGB-242;Diebstahl;AfD
344;10.08.2020;Haltern am See;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
345;26.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
346;23.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
347;22.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
348;27.08.2020;Bottrop;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei, CDU
349;03.09.2020;Herten;1;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
350;05.09.2020;Herten;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;DIE LINKE.
351;02.09.2020;Bottrop;0;Nicht zuzuordnen;STGB-242;Diebstahl;Bündnis 90/Die Grünen
352;28.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-243;Bes. schwerer Diebstahl;Sonstige Partei
353;26.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;FDP
354;28.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
355;04.09.2020;Datteln;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
356;28.08.2020;Recklinghausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;AfD
357;03.09.2020;Recklinghausen;0;Links;STGB-242;Diebstahl;AfD
358;13.09.2020;Recklinghausen;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
359;12.09.2020;Bottrop;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen, SPD
360;20.09.2020;Oer-Erkenschwick;0;Nicht zuzuordnen;STGB-242;Diebstahl;Sonstige Partei
361;11.07.2020;Wuppertal;1;Links;STGB-303;Sachbeschädigung;Sonstige Partei
362;24.07.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
363;31.07.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
364;03.08.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
365;05.08.2020;Wuppertal;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
366;05.08.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
367;03.08.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
368;14.08.2020;Wuppertal;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;FDP
369;03.08.2020;Wuppertal;0;Links;STGB-303;Sachbeschädigung;Sonstige Partei
370;17.08.2020;Wuppertal;0;Links;STGB-242;Diebstahl;Sonstige Partei
371;12.08.2020;Wuppertal;0;Nicht zuzuordnen;STGB-242;Diebstahl;Bündnis 90/Die Grünen, DIE LINKE.
372;21.08.2020;Wuppertal;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
373;22.08.2020;Solingen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
374;23.08.2020;Wuppertal;0;Rechts;STGB-240;Nötigung;Sonstige Partei
