Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;plz;Längengrad;Breitengrad;reiseziel;Besiedlungsgrad
60;64;01;0;51;5169;133;Wiemerstedt;25779;9,11111;54,269259;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;136;Wrohm;25799;9,379505;54,212642;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;139;Süderdorf;25782;9,343678;54,220732;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;141;Süderheistedt;25779;9,148463;54,23483;übrig. Schleswig-Holstein;gering besiedelt
50;55;01;0;51;5172;;Heider Umland;;;;;
60;64;01;0;51;5172;048;Hemmingstedt;25770;9,073156;54,14876;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;067;Lieth;25770;9,060773;54,15531;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;069;Lohe-Rickelshof;25746;9,065603;54,187725;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;51;5172;075;Neuenkirchen;25799;8,987884;54,235602;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;081;Norderwöhrden;25746;9,000232;54,192783;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;082;Nordhastedt;25785;9,182991;54,17205;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;087;Ostrohe;25746;9,130804;54,214;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;107;Stelle-Wittenwurth;25795;9,066849;54,254357;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;113;Wöhrden;25797;8,994508;54,165463;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;122;Weddingstedt;25795;9,088863;54,239275;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5172;130;Wesseln;25746;9,075443;54,208327;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
50;51;01;0;51;5175;;Mitteldithmarschen;;;;;
60;64;01;0;51;5175;001;Albersdorf;25767;9,283995;54,146557;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;002;Arkebek;25767;9,250362;54,160197;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;004;Bargenstedt;25704;9,144199;54,095594;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;006;Barlt;25719;9,058002;54,012444;Nordsee;gering besiedelt
60;64;01;0;51;5175;015;Bunsoh;25767;9,320225;54,165522;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;017;Busenwurth;25719;9,041298;54,041407;Nordsee;gering besiedelt
60;64;01;0;51;5175;027;Elpersbüttel;25704;9,047156;54,072963;Nordsee;gering besiedelt
60;64;01;0;51;5175;028;Epenwöhrden;25704;9,052894;54,112805;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5175;039;Gudendorf;25693;9,1082;54,024736;übrig. Schleswig-Holstein;gering besiedelt
