Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
152;27.08.2020;Bochum;0;Rechts;STGB-185;Beleidigung;FDP
153;10.09.2020;Witten;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;keine Angabe
154;15.07.2020;Selm;0;Links;STGB-303;Sachbeschädigung;AfD
155;15.08.2020;Dortmund;1;Links;STGB-185;Beleidigung;AfD
156;04.07.2020;Hamm;4;Links;STGB-185;Beleidigung;AfD
157;07.09.2020;Schwerte;0;Links;URHG;;AfD
158;01.09.2020;Arnsberg;1;Rechts;STGB-130;Volksverhetzung;CDU, SPD
159;05.09.2020;Dortmund;1;Links;STGB-303;Sachbeschädigung;keine Angabe
160;08.09.2020;Düsseldorf;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
161;26.07.2020;Oberhausen;1;Rechts;STGB-130;Volksverhetzung;DIE LINKE.
162;18.08.2020;Essen;0;Rechts;STGB-303;Sachbeschädigung;CDU, Bündnis 90/Die Grünen
163;10.08.2020;Gelsenkirchen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
164;01.07.2020;Nachrodt-Wiblingwerde;0;Rechts;STGB-241;Bedrohung;SPD
165;29.07.2020;Leverkusen;0;Nicht zuzuordnen;STGB-240;Nötigung;CDU
166;02.08.2020;Köln;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
