city_id;city;pop;pop_female;pop_male;year;state
8335043;        Konstanz, Universitätsstadt;83644;40422;43222;2009;BW
8335055;        Moos;3277;1628;1649;2009;BW
8335057;        Mühlingen;2332;1185;1147;2009;BW
8335061;        Öhningen;3684;1825;1859;2009;BW
8335063;        Radolfzell am Bodensee, Stadt;30620;14801;15819;2009;BW
8335066;        Reichenau;5156;2567;2589;2009;BW
8335075;        Singen (Hohentwiel), Stadt;45427;21983;23444;2009;BW
8335077;        Steißlingen;4600;2237;2363;2009;BW
8335079;        Stockach, Stadt;16618;8084;8534;2009;BW
8335080;        Tengen, Stadt;4641;2277;2364;2009;BW
8335081;        Volkertshausen;2931;1462;1469;2009;BW
8335096;        Hohenfels;2005;1003;1002;2009;BW
8335097;        Mühlhausen-Ehingen;3666;1854;1812;2009;BW
8335098;        Bodman-Ludwigshafen;4417;2138;2279;2009;BW
8335099;        Orsingen-Nenzingen;3133;1551;1582;2009;BW
8335100;        Rielasingen-Worblingen;11936;5813;6123;2009;BW
8336004;        Aitern;561;293;268;2009;BW
8336006;        Bad Bellingen;3865;1923;1942;2009;BW
8336008;        Binzen;2872;1400;1472;2009;BW
8336010;        Böllen;98;49;49;2009;BW
8336012;        Bürchau;-;-;-;2009;BW
8336014;        Efringen-Kirchen;8247;4111;4136;2009;BW
8336019;        Eimeldingen;2467;1225;1242;2009;BW
8336020;        Elbenschwand;-;-;-;2009;BW
8336024;        Fischingen;678;344;334;2009;BW
8336025;        Fröhnd;489;259;230;2009;BW
8336034;        Hasel;1125;572;553;2009;BW
8336036;        Hausen im Wiesental;2372;1194;1178;2009;BW
8336043;        Inzlingen;2474;1196;1278;2009;BW
8336045;        Kandern, Stadt;8130;3898;4232;2009;BW
8336050;        Lörrach, Stadt;48190;23279;24911;2009;BW
8336057;        Maulburg;4016;2039;1977;2009;BW
8336060;        Neuenweg;-;-;-;2009;BW
8336067;        Raich;-;-;-;2009;BW
8336069;        Rheinfelden (Baden), Stadt;32211;15755;16456;2009;BW
8336073;        Rümmingen;1634;819;815;2009;BW
8336074;        Sallneck;-;-;-;2009;BW
8336075;        Schallbach;718;348;370;2009;BW
8336078;        Schliengen;5257;2583;2674;2009;BW
8336079;        Schönau im Schwarzwald, Stadt;2412;1164;1248;2009;BW
8336080;        Schönenberg;337;167;170;2009;BW
8336081;        Schopfheim, Stadt;18910;9159;9751;2009;BW
8336082;        Schwörstadt;2397;1200;1197;2009;BW
8336084;        Steinen;10197;4985;5212;2009;BW
8336086;        Tegernau;-;-;-;2009;BW
8336087;        Todtnau, Stadt;4932;2432;2500;2009;BW
8336089;        Tunau;182;92;90;2009;BW
8336090;        Utzenfeld;641;328;313;2009;BW
8336091;        Weil am Rhein, Stadt;29851;14454;15397;2009;BW
8336094;        Wembach;329;165;164;2009;BW
8336096;        Wieden;568;288;280;2009;BW
8336097;        Wies;-;-;-;2009;BW
8336098;        Wieslet;-;-;-;2009;BW
8336100;        Wittlingen;942;478;464;2009;BW
8336103;        Zell im Wiesental, Stadt;5987;2982;3005;2009;BW
8336104;        Malsburg-Marzell;1523;776;747;2009;BW
8336105;        Grenzach-Wyhlen;13980;6755;7225;2009;BW
8336106;        Häg-Ehrsberg;863;451;412;2009;BW
8336107;        Kleines Wiesental;2946;1490;1456;2009;BW
8337002;        Albbruck;7292;3677;3615;2009;BW
8337013;        Bernau im Schwarzwald;1887;940;947;2009;BW
8337022;        Bonndorf im Schwarzwald, Stadt;6895;3422;3473;2009;BW
8337027;        Dachsberg (Südschwarzwald);1398;695;703;2009;BW
8337030;        Dettighofen;1097;552;545;2009;BW
8337032;        Dogern;2298;1123;1175;2009;BW
8337038;        Görwihl;4343;2123;2220;2009;BW
8337039;        Grafenhausen;2258;1124;1134;2009;BW
8337045;        Häusern;1265;592;673;2009;BW
8337049;        Herrischried;2715;1367;1348;2009;BW
8337051;        Höchenschwand;2566;1232;1334;2009;BW
8337053;        Hohentengen am Hochrhein;3633;1827;1806;2009;BW
8337059;        Ibach;391;182;209;2009;BW
8337060;        Jestetten;5093;2488;2605;2009;BW
8337062;        Klettgau;7360;3650;3710;2009;BW
8337065;        Lauchringen;7534;3680;3854;2009;BW
8337066;        Laufenburg (Baden), Stadt;8623;4182;4441;2009;BW
8337070;        Lottstetten;2185;1103;1082;2009;BW
8337076;        Murg;6827;3341;3486;2009;BW
8337090;        Rickenbach;3875;1941;1934;2009;BW
8337096;        Bad Säckingen, Stadt;16808;8014;8794;2009;BW
8337097;        St. Blasien, Stadt;3897;1961;1936;2009;BW
8337106;        Stühlingen, Stadt;5141;2570;2571;2009;BW
8337108;        Todtmoos;1987;968;1019;2009;BW
8337116;        Wehr, Stadt;12861;6181;6680;2009;BW
8337118;        Weilheim;3083;1549;1534;2009;BW
8337123;        Wutöschingen;6607;3306;3301;2009;BW
8337124;        Eggingen;1667;830;837;2009;BW
8337125;        Küssaberg;5505;2726;2779;2009;BW
8337126;        Waldshut-Tiengen, Stadt;22876;11070;11806;2009;BW
8337127;        Wutach;1228;612;616;2009;BW
8337128;        Ühlingen-Birkendorf;5189;2638;2551;2009;BW
8415014;        Dettingen an der Erms;9304;4629;4675;2009;BW
8415019;        Eningen unter Achalm;11071;5389;5682;2009;BW
8415027;        Gomadingen;2199;1111;1088;2009;BW
8415028;        Grabenstetten;1568;801;767;2009;BW
8415029;        Grafenberg;2653;1364;1289;2009;BW
8415034;        Hayingen, Stadt;2150;1124;1026;2009;BW
8415039;        Hülben;2819;1353;1466;2009;BW
8415048;        Mehrstetten;1388;719;669;2009;BW
8415050;        Metzingen, Stadt;21945;10500;11445;2009;BW
8415053;        Münsingen, Stadt;14497;7089;7408;2009;BW
8415058;        Pfronstetten;1529;813;716;2009;BW
8415059;        Pfullingen, Stadt;18564;8981;9583;2009;BW
8415060;        Pliezhausen;9384;4644;4740;2009;BW
8415061;        Reutlingen, Stadt;112132;54714;57418;2009;BW
8415062;        Riederich;4282;2101;2181;2009;BW
8415073;        Trochtelfingen, Stadt;6497;3245;3252;2009;BW
8415078;        Bad Urach, Stadt;12412;6085;6327;2009;BW
8415080;        Wannweil;5162;2528;2634;2009;BW
8415085;        Zwiefalten;2087;1086;1001;2009;BW
8415086;        Gutsbezirk Münsingen;201;97;104;2009;BW
8415087;        Walddorfhäslach;4778;2364;2414;2009;BW
8415088;        Römerstein;3919;1935;1984;2009;BW
8415089;        Engstingen;5377;2644;2733;2009;BW
8415090;        Hohenstein;3705;1856;1849;2009;BW
8415091;        Sonnenbühl;7042;3527;3515;2009;BW
8415092;        Lichtenstein;9050;4420;4630;2009;BW
8415093;        St. Johann;5212;2599;2613;2009;BW
8415971;        Gutsbezirk Münsingen, gemeindefreies Gebiet;-;-;-;2009;BW
8416006;        Bodelshausen;5802;2889;2913;2009;BW
8416009;        Dettenhausen;5465;2714;2751;2009;BW
8416011;        Dußlingen;5525;2749;2776;2009;BW
8416015;        Gomaringen;8570;4198;4372;2009;BW
8416018;        Hirrlingen;2953;1481;1472;2009;BW
8416022;        Kirchentellinsfurt;5551;2729;2822;2009;BW
8416023;        Kusterdingen;8172;4048;4124;2009;BW
8416025;        Mössingen, Stadt;20043;9836;10207;2009;BW
8416026;        Nehren;4271;2065;2206;2009;BW
8416031;        Ofterdingen;4562;2271;2291;2009;BW
8416036;        Rottenburg am Neckar, Stadt;42443;21378;21065;2009;BW
8416041;        Tübingen, Universitätsstadt;87788;42261;45527;2009;BW
8416048;        Ammerbuch;11720;5826;5894;2009;BW
8416049;        Neustetten;3476;1724;1752;2009;BW
8416050;        Starzach;4441;2190;2251;2009;BW
8417002;        Balingen, Stadt;33933;16575;17358;2009;BW
8417008;        Bisingen;9304;4578;4726;2009;BW
8417010;        Bitz;3738;1799;1939;2009;BW
8417013;        Burladingen, Stadt;12470;6105;6365;2009;BW
8417014;        Dautmergen;408;201;207;2009;BW
8417015;        Dormettingen;1044;533;511;2009;BW
8417016;        Dotternhausen;1864;920;944;2009;BW
8417022;        Geislingen, Stadt;6029;3052;2977;2009;BW
8417023;        Grosselfingen;2123;1062;1061;2009;BW
8417025;        Haigerloch, Stadt;10754;5363;5391;2009;BW
8417029;        Hausen am Tann;477;246;231;2009;BW
8417031;        Hechingen, Stadt;19168;9395;9773;2009;BW
8417036;        Jungingen;1429;683;746;2009;BW
8417044;        Meßstetten, Stadt;10502;5279;5223;2009;BW
8417045;        Nusplingen;1801;895;906;2009;BW
8417047;        Obernheim;1467;723;744;2009;BW
8417051;        Rangendingen;5261;2573;2688;2009;BW
8417052;        Ratshausen;767;361;406;2009;BW
8417054;        Rosenfeld, Stadt;6484;3260;3224;2009;BW
8417057;        Schömberg, Stadt;4653;2372;2281;2009;BW
8417063;        Straßberg;2642;1294;1348;2009;BW
8417071;        Weilen unter den Rinnen;629;312;317;2009;BW
8417075;        Winterlingen;6583;3268;3315;2009;BW
8417078;        Zimmern unter der Burg;480;247;233;2009;BW
8417079;        Albstadt, Stadt;45327;22136;23191;2009;BW
8425002;        Allmendingen;4508;2254;2254;2009;BW
8425004;        Altheim;589;309;280;2009;BW
8425005;        Altheim (Alb);1766;904;862;2009;BW
8425008;        Amstetten;3919;1996;1923;2009;BW
8425011;        Asselfingen;1026;539;487;2009;BW
8425013;        Ballendorf;658;327;331;2009;BW
8425014;        Beimerstetten;2499;1232;1267;2009;BW
8425017;        Berghülen;1924;989;935;2009;BW
8425019;        Bernstadt;2076;1044;1032;2009;BW
8425020;        Blaubeuren, Stadt;11905;5835;6070;2009;BW
8425022;        Börslingen;177;91;86;2009;BW
8425024;        Breitingen;262;137;125;2009;BW
8425028;        Dietenheim, Stadt;6552;3223;3329;2009;BW
8425031;        Dornstadt;8393;4158;4235;2009;BW
8425033;        Ehingen (Donau), Stadt;25702;12717;12985;2009;BW
8425035;        Emeringen;128;61;67;2009;BW
8425036;        Emerkingen;849;432;417;2009;BW
8425039;        Erbach, Stadt;13217;6647;6570;2009;BW
8425050;        Griesingen;1053;520;533;2009;BW
8425052;        Grundsheim;200;94;106;2009;BW
8425055;        Hausen am Bussen;299;155;144;2009;BW
8425062;        Holzkirch;273;136;137;2009;BW
8425064;        Hüttisheim;1351;662;689;2009;BW
8425066;        Illerrieden;3350;1669;1681;2009;BW
8425071;        Laichingen, Stadt;10920;5430;5490;2009;BW
