,city,date,background,law,suspects,crime,party,state,plz,city_id,insgesamt,cycle_1,cycle_2_x,cycle_3_x,crime_count,Anzahl Bewerber,Prozent Frauen,darunter Frauen,year,Land,city_id_bb,cycle_2_y,cycle_3_y,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,p_female,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff,county,index,pop,female,size,share_fem,density,degree_urban,day
888,Adelberg,,,,,,AfD,BW,73099.0,8117001.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2868.0,1948.0,973.0,9.49,2.0020554984583763,205.0,1.0,
894,Aichelberg,,,,,,AfD,BW,73101.0,8117002.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2871.0,1355.0,659.0,4.01,2.056145675265554,338.0,1.0,
900,Aichelberg,,,,,,AfD,BW,73101.0,8117002.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,2870.0,1279.0,622.0,4.01,2.0562700964630225,319.0,2.0,
906,Albershausen,,,,,,AfD,BW,73095.0,8117003.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,14.0,3.0,0.0,0.0,0.0,0.0,,0.21428571428571427,,,-0.003105590062111807,,,Göppingen,2865.0,4390.0,2202.0,6.5,1.9936421435059037,675.0,2.0,
912,Albershausen,,,,,,AfD,BW,73095.0,8117003.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,1.0,right,,23.0,5.0,0.0,0.0,0.0,0.0,,0.21739130434782608,,,-0.003105590062111807,,,Göppingen,2864.0,4210.0,2117.0,6.5,1.9886632026452526,648.0,2.0,
918,Bad Ditzenbach,,,,,,AfD,BW,73342.0,8117006.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,5.0,1.0,0.0,0.0,0.0,0.0,,0.2,,,-0.16363636363636364,,,Göppingen,2945.0,3703.0,1838.0,25.44,2.014689880304679,146.0,1.0,
924,Bad Ditzenbach,,,,,,AfD,BW,73342.0,8117006.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,11.0,4.0,0.0,0.0,0.0,0.0,,0.36363636363636365,,,-0.16363636363636364,,,Göppingen,2944.0,3645.0,1841.0,25.45,1.979902227050516,143.0,1.0,
930,Bad Uberkingen,,,,,,AfD,BW,73337.0,8117007.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,12.0,3.0,0.0,0.0,0.0,0.0,,0.25,,,-0.11363636363636365,,,Göppingen,2941.0,3844.0,1951.0,24.04,1.9702716555612507,160.0,1.0,
936,Bad Uberkingen,,,,,,AfD,BW,73337.0,8117007.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,11.0,4.0,0.0,0.0,0.0,0.0,,0.36363636363636365,,,-0.11363636363636365,,,Göppingen,2940.0,3788.0,1924.0,24.02,1.9688149688149688,158.0,1.0,
942,Birenbach,,,,,,AfD,BW,73102.0,8117009.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,14.0,3.0,0.0,0.0,0.0,0.0,,0.21428571428571427,,,-0.2523809523809524,,,Göppingen,2873.0,1941.0,988.0,2.5,1.964574898785425,776.0,2.0,
948,Birenbach,,,,,,AfD,BW,73102.0,8117009.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,15.0,7.0,0.0,0.0,0.0,0.0,,0.4666666666666667,,,-0.2523809523809524,,,Göppingen,2872.0,1877.0,939.0,2.5,1.9989350372736954,751.0,2.0,
954,Bohmenkirch,,,,,,AfD,BW,89558.0,8117010.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,4385.0,5536.0,2699.0,51.08,2.0511300481659873,108.0,1.0,
960,Bohmenkirch,2019-05-13,Nicht zuzuordnen,303 StGB,0.0,Sachbeschadigung,AfD,BW,89558.0,8117010.0,5536.0,2014.0,2019.0,2019.0,1.0,0.0,0.0,0.0,2019.0,8.0,,2014.0,2014.0,2.0,2.0,0.0,2.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Göppingen,4384.0,5484.0,2604.0,51.09,2.1059907834101383,107.0,1.0,0.0
