,plz,year,pop,female,density,degree_urban,size,share_fem
91,73344.0,2014,2177.0,1048.0,94,gering besiedelt,"23,05",0.4813964170877354
92,73345.0,2014,831.0,371.0,71,gering besiedelt,"11,64",0.4464500601684717
93,73347.0,2014,1013.0,511.0,160,gering besiedelt,"6,33",0.5044422507403751
94,73349.0,2014,1974.0,996.0,84,gering besiedelt,"23,4",0.5045592705167173
95,73099.0,2014,1948.0,973.0,205,gering besiedelt,"9,49",0.49948665297741274
96,73102.0,2014,1877.0,939.0,751,mittlere Besiedlungsdichte,"2,5",0.5002663825253063
97,73104.0,2014,1709.0,853.0,207,gering besiedelt,"8,26",0.49912229373902867
98,73098.0,2014,5389.0,2770.0,842,mittlere Besiedlungsdichte,"6,4",0.5140100204119503
99,73101.0,2014,1279.0,622.0,319,mittlere Besiedlungsdichte,"4,01",0.48631743549648165
100,73087.0,2014,5067.0,2631.0,463,gering besiedelt,"10,95",0.5192421551213736
101,73105.0,2014,2083.0,1051.0,388,mittlere Besiedlungsdichte,"5,37",0.5045607297167547
102,73108.0,2014,1422.0,690.0,430,mittlere Besiedlungsdichte,"3,31",0.48523206751054854
103,73110.0,2014,2899.0,1470.0,379,mittlere Besiedlungsdichte,"7,64",0.5070714039323905
104,73119.0,2014,3027.0,1490.0,474,mittlere Besiedlungsdichte,"6,39",0.4922365378262306
105,73095.0,2014,4210.0,2117.0,648,mittlere Besiedlungsdichte,"6,5",0.5028503562945368
106,73066.0,2014,13963.0,7035.0,563,mittlere Besiedlungsdichte,"24,79",0.503831554823462
107,73107.0,2014,2158.0,1085.0,450,mittlere Besiedlungsdichte,"4,8",0.5027803521779426
108,73092.0,2014,5005.0,2560.0,402,mittlere Besiedlungsdichte,"12,45",0.5114885114885115
109,71679.0,2014,13065.0,6633.0, 2 253,mittlere Besiedlungsdichte,"5,8",0.5076923076923077
110,71254.0,2014,24427.0,12359.0,804,mittlere Besiedlungsdichte,"30,39",0.5059565235190567
111,70839.0,2014,19151.0,9848.0, 1 126,mittlere Besiedlungsdichte,"17,01",0.5142290219831862
112,71723.0,2014,8253.0,4124.0,324,mittlere Besiedlungsdichte,"25,51",0.4996970798497516
113,70806.0,2014,32680.0,16568.0, 2 231,mittlere Besiedlungsdichte,"14,65",0.5069767441860465
114,71638.0,2014,91116.0,46755.0, 2 102,dicht besiedelt,"43,35",0.51313709996049
115,71706.0,2014,14426.0,7161.0,512,mittlere Besiedlungsdichte,"28,16",0.4963953971995009
116,71696.0,2014,10983.0,5533.0, 1 106,mittlere Besiedlungsdichte,"9,93",0.5037785668760812
117,71720.0,2014,7877.0,3974.0,373,mittlere Besiedlungsdichte,"21,1",0.5045067919258601
118,74343.0,2014,17861.0,9078.0,308,mittlere Besiedlungsdichte,"57,92",0.5082582162252953
119,70825.0,2014,18701.0,9393.0,903,mittlere Besiedlungsdichte,"20,71",0.5022726057430084
120,71686.0,2014,25042.0,12636.0, 1 097,mittlere Besiedlungsdichte,"22,82",0.5045922849612651
121,74354.0,2014,11951.0,6064.0,710,mittlere Besiedlungsdichte,"16,83",0.5074052380553928
122,74392.0,2014,2453.0,1241.0,799,gering besiedelt,"3,07",0.5059111292295149
123,74376.0,2014,3976.0,1986.0,483,mittlere Besiedlungsdichte,"8,23",0.4994969818913481
124,74394.0,2014,2347.0,1175.0,467,gering besiedelt,"5,03",0.5006391137622497
125,74369.0,2014,5520.0,2777.0,504,mittlere Besiedlungsdichte,"10,95",0.5030797101449276
126,74395.0,2014,3247.0,1578.0,318,gering besiedelt,"10,2",0.48598706498306127
127,74399.0,2014,3112.0,1547.0,507,mittlere Besiedlungsdichte,"6,14",0.49710796915167094
128,71732.0,2014,12605.0,6332.0, 1 436,mittlere Besiedlungsdichte,"8,78",0.5023403411344705
129,74379.0,2014,6183.0,3157.0,535,mittlere Besiedlungsdichte,"11,55",0.5105935629953097
130,74321.0,2014,42334.0,21632.0, 1 353,mittlere Besiedlungsdichte,"31,29",0.510984078990882
131,74357.0,2014,7360.0,3726.0,365,mittlere Besiedlungsdichte,"20,14",0.50625
