,date,place,suspects,background,law,crime,party_1,party_2,party_3,party_4,party_5,party_6,party_7,id
1361,18.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1361
1362,18.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1362
1363,18.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,1363
1364,18.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1364
1365,18.08.2019,Sebnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,FDP,Die Linke,,,,1365
1370,18.08.2019,Sebnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,CDU,FDP,Die Linke,,,,1370
1375,18.08.2019,Hohnstein,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1375
1376,18.08.2019,Grimma,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1376
1378,18.08.2019,Oschatz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,1378
1379,18.08.2019,Dippoldiswalde,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1379
1380,18.08.2019,Leipzig,1,Links,STGB-242,Diebstahl,AfD,,,,,,,1380
1381,19.08.2019,Aken,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,1381
1382,19.08.2019,Templin,0,Links,STGB-242,Diebstahl,AfD,,,,,,,1382
1383,19.08.2019,Brandenburg,2,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1383
1387,19.08.2019,Wriezen,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Die Linke,,,,,,,1387
1388,19.08.2019,Nuthetal,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1388
1389,19.08.2019,Markkleeberg,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1389
1390,19.08.2019,Wurzen,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1390
1391,19.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1391
1392,19.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1392
1393,19.08.2019,Chemnitz,1,Links,STGB-242,Diebstahl,Sonstige,,,,,,,1393
1397,20.08.2019,Brandenburg,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,SPD,,,,,,,1397
1398,20.08.2019,Bernau,1,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1398
1399,20.08.2019,Leipzig,2,Links,STG B-303,Sachbeschadigung,CDU,,,,,,,1399
1400,20.08.2019,Leipzig,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,FDP,,,,,,,1400
1404,20.08.2019,Dresden,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,1404
1405,20.08.2019,Leipzig,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Grune,,,,,,,1405
1406,20.08.2019,Neustadt,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,CDU,,,,,,,1406
1407,20.08.2019,Dresden,3,Links,STG B-303,Sachbeschadigung,Sonstige,,,,,,,1407
1408,20.08.2019,Leipzig,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Grune,,,,,,,1408
1409,20.08.2019,Leipzig,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1409
1410,20.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1410
1411,20.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1411
1412,20.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1412
1414,20.08.2019,Rochlitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,1414
1416,20.08.2019,Rochlitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,1416
1417,21.08.2019,Furstenberg,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1417
1418,21.08.2019,Oranienburg,1,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1418
1419,21.08.2019,Oranienburg,1,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Grune,,,,,,,1419
1420,21.08.2019,Oranienburg,1,Nicht zuzuordnen,STG B-303,Sachbeschadigung,CDU,,,,,,,1420
1421,21.08.2019,Stahnsdorf,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,SPD,Grune,,,,,,1421
1424,21.08.2019,Elmshorn,1,Nicht zuzuordnen,STG B-303,Sachbeschadigung,FDP,,,,,,,1424
1426,21.08.2019,Gablenz,4,Links,STGB-303,Sachbeschadigung,AfD,CDU,,,,,,1426
1429,21.08.2019,Dresden,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Die Linke,CDU,,,,,,1429
1432,21.08.2019,Brandis,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,SPD,,,,,,,1432
1433,21.08.2019,Lunzenau,0,Links,STGB-242,Diebstahl,AfD,,,,,,,1433
1434,21.08.2019,Reichenbach,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1434
1435,21.08.2019,Leipzig,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Grune,,,,,,,1435
1436,21.08.2019,Leipzig,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Grune,,,,,,,1436
1437,21.08.2019,Leipzig,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Grune,,,,,,,1437
1438,21.08.2019,Leipzig,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Grune,,,,,,,1438
1439,21.08.2019,Leipzig,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1439
1440,21.08.2019,Leipzig,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1440
1441,21.08.2019,Niederau,0,Links,STGB-242,Diebstahl,AfD,,,,,,,1441
1442,21.08.2019,Meissen,0,Links,STGB-242,Diebstahl,AfD,CDU,,,,,,1442
1445,22.08.2019,Calau,1,Rechts,STG B-303,Sachbeschadigung,Die Linke,,,,,,,1445
1446,22.08.2019,Rheinsberg,2,Rechts,STG B-303,Sachbeschadigung,Die Linke,,,,,,,1446
1447,22.08.2019,Birkenwerder,1,Nicht zuzuordnen,STG B-303,Sachbeschadigung,SPD,,,,,,,1447
1448,22.08.2019,Birkenwerder,1,Nicht zuzuordnen,STG B-303,Sachbeschadigung,SPD,,,,,,,1448
1449,22.08.2019,Kleinmachnow,2,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1449
1450,22.08.2019,Leipzig,1,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,1450
1451,22.08.2019,Leipzig,0,Links,STG B-303,Sachbeschadigung,Sonstige,,,,,,,1451
1452,22.08.2019,Leipzig,0,Links,STG B-303,Sachbeschadigung,Sonstige,,,,,,,1452
1453,22.08.2019,Leipzig,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,CDU,,,,,,,1453
1454,22.08.2019,Chemnitz,2,Nicht zuzuordnen,STG B-303,Sachbeschadigung,Grune,AfD,,,,,,1454
1457,23.08.2019,Werneuchen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,1457
1458,23.08.2019,Wittenberge,0,Links,STGB-242,Diebstahl,AfD,,,,,,,1458
1460,23.08.2019,Furstenwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1460
1461,23.08.2019,Falkensee,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1461
1462,23.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1462
1466,23.08.2019,Dresden,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,FDP,,,,,,,1466
1467,23.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,CDU,,,,,,,1467
1468,23.08.2019,Bautzen,0,Links,STGB-303,Sachbeschadigung,AfD,Grune,CDU,,,,,1468
1473,23.08.2019,Dresden,1,Rechts,STGB-303,Sachbeschadigung,SPD,,,,,,,1473
1474,23.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1474
1475,23.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1475
1476,23.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1476
1477,23.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1477
1478,23.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1478
1479,23.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1479
1480,23.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1480
1481,23.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1481
1482,23.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1482
1484,23.08.2019,Rochlitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,1484
1486,23.08.2019,Rochlitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,1486
1488,23.08.2019,Rochlitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,1488
1489,24.08.2019,Werder,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1489
1490,24.08.2019,Bestensee,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1490
1492,24.08.2019,Finsterwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1492
1493,24.08.2019,Sonnewalde,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1493
1494,24.08.2019,Cottbus,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1494
1498,24.08.2019,Potsdam,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Die Linke,,,,,,,1498
1499,24.08.2019,Eisenhatenstadt,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1499
1500,24.08.2019,Wustermark,0,Nicht zuzuordnen,STGB-242,Diebstahl,Grune,,,,,,,1500
1501,24.08.2019,Brandenburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1501
1502,24.08.2019,Kloster Lehnin,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1502
1503,24.08.2019,Rochlitz,0,Links,STGB-303,Sachbeschadigung,AfD,CDU,,,,,,1503
1506,24.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1506
1507,24.08.2019,Weisswasser,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1507
1508,24.08.2019,Aue,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1508
1509,24.08.2019,Lichtenstein,0,Links,STGB-242,Diebstahl,AfD,,,,,,,1509
1513,24.08.2019,Lichtenstein,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,1513
1514,24.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1514
1515,24.08.2019,Dresden,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1515
1516,24.08.2019,Dresden,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1516
1517,24.08.2019,Dresden,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1517
1518,24.08.2019,Freiberg,6,Links,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1518
1519,24.08.2019,Stadt Wehlen,0,Links,STGB-241,Bedrohung,AfD,Die Linke,,,,,,1519
1522,24.08.2019,Leipzig,0,Rechts,STGB-303,Sachbeschadigung,SPD,,,,,,,1522
1523,24.08.2019,Radebeul,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1523
1525,24.08.2019,Leipzig,0,Links,STGB-223,Korperverletzung,AfD,,,,,,,1525
1526,24.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1526
1527,24.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1527
1528,24.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1528
1529,24.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1529
1530,24.08.2019,Stauchitz,1,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,1530
1531,24.08.2019,Schkeuditz,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1531
1532,24.08.2019,Meissen,0,Links,STGB-242,Diebstahl,AfD,Grune,CDU,Die Linke,,,,1532
1537,25.08.2019,Lauchhammer,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,AfD,,,,,,1537
1538,25.08.2019,Finsterwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1538
1539,25.08.2019,Spremberg,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1539
1540,25.08.2019,Lauchhammer,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1540
1541,25.08.2019,Ucker,0,Links,STGB-242,Diebstahl,AfD,Die Linke,,,,,,1541
1544,25.08.2019,Potsdam,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1544
1545,25.08.2019,Drebkau,0,Links,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1545
1546,25.08.2019,Stahnsdorf,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1546
1550,25.08.2019,Bernstadt,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,AfD,,,,,,1550
1553,25.08.2019,Leipzig,1,Links,STGB-303,Sachbeschadigung,CDU,,,,,,,1553
1554,25.08.2019,Reichenbach,0,Links,STGB-242,Diebstahl,AfD,,,,,,,1554
1555,25.08.2019,Chemnitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1555
1556,25.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,Die Linke,,,,,,1556
1559,25.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1559
1560,25.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1560
1561,25.08.2019,Kitzscher,0,Rechts,STGB-303,Sachbeschadigung,CDU,,,,,,,1561
1562,25.08.2019,Markranstadt,0,Rechts,STGB-303,Sachbeschadigung,CDU,,,,,,,1562
1563,25.08.2019,Wurzen,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1563
1564,25.08.2019,Grimma,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1564
1565,25.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1565
1566,26.08.2019,Kyritz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1566
1567,26.08.2019,Glienicke,0,Nicht zuzuordnen,STGB-242,Diebstahl,FDP,Grune,CDU,,,,,1567
1572,26.08.2019,Falkensee,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Die Linke,,,,,,1572
1573,26.08.2019,Premnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1573
1574,26.08.2019,Borkheide,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1574
1575,26.08.2019,Glauchau,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1575
1576,26.08.2019,Chemnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1576
1577,26.08.2019,Grimma,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1577
1578,26.08.2019,Grimma,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1578
1579,26.08.2019,Glauchau,0,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,1579
1580,26.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1580
1581,27.08.2019,Rheinsberg,4,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1581
1582,27.08.2019,Finsterwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1582
1583,27.08.2019,Eisenhuttenstadt,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1583
1584,27.08.2019,Chemnitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1584
1585,27.08.2019,Freital,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1585
1586,27.08.2019,Freital,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1586
1587,27.08.2019,Radebeul,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1587
1588,27.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1588
1590,27.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1590
1591,27.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1591
1592,27.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1592
1594,27.08.2019,Schkeuditz,0,Nicht zuzuordnen,STGB-248A,Diebstahl geringwertiger Sachen,SPD,,,,,,,1594
1595,27.08.2019,Oschatz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1595
1596,27.08.2019,Schkeuditz,0,Rechts,STGB-303,Sachbeschadigung,SPD,,,,,,,1596
1597,27.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1597
1598,27.08.2019,Tharandt,0,Links,STGB-242,Diebstahl,AfD,,,,,,,1598
1599,28.08.2019,Oranienburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,1599
1600,28.08.2019,Hohen Neuendorf,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1600
1604,28.08.2019,Potsdam,0,Nicht zuzuordnen,STGB-242,Diebstahl,Grune,,,,,,,1604
1605,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1605
1606,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1606
1607,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1607
1608,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-130,Volksverhetzung,FDP,,,,,,,1608
1609,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1609
1610,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1610
1611,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1611
1612,28.08.2019,Elmshorn,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1612
1616,28.08.2019,Weisswasser,0,Links,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,AfD,,,,,,,1616
1617,28.08.2019,Oschatz,0,Links,STGB-242,Diebstahl,AfD,,,,,,,1617
1618,28.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1618
1619,28.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1619
1620,28.08.2019,Machern,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1620
1623,28.08.2019,Heidenau,0,Nicht zuzuordnen,STGB-304,Sachbeschadigung,Sonstige,,,,,,,1623
1624,29.08.2019,Schwedt,0,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,1624
1625,29.08.2019,Neuruppin,0,Links,STGB-303,Sachbeschadigung,AfD,Die Linke,,,,,,1625
1628,29.08.2019,Doberlug-Kirchhain,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1628
1629,29.08.2019,Neustadt,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1629
1630,29.08.2019,Neuruppin,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,AfD,CDU,Die Linke,,,,1630
1635,29.08.2019,Brandenburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1635
1636,29.08.2019,Stahnsdorf,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1636
1637,29.08.2019,Werder,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,Grune,CDU,,,,,1637
1642,29.08.2019,Chemnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,CDU,Die Linke,,,,1642
1647,29.08.2019,Chemnitz,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1647
1648,29.08.2019,Rochlitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1648
1649,29.08.2019,Klipphausen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1649
1650,29.08.2019,Dresden,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1650
1651,29.08.2019,Lunzenau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1651
1652,29.08.2019,Grimma,0,Rechts,STGB-242,Diebstahl,Die Linke,,,,,,,1652
1653,29.08.2019,Leipzig,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1653
1654,29.08.2019,Heidenau,2,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1654
1655,29.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1655
1656,29.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1656
1658,29.08.2019,Seelitz,0,Links,STGB-248A,Diebstahl geringwertiger Sachen,AfD,,,,,,,1658
1659,29.08.2019,Rochlitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1659
1660,29.08.2019,Dresden,3,Links,STGB-303,Sachbeschadigung,FDP,,,,,,,1660
1661,30.08.2019,Oberuckersee,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,1661
1662,30.08.2019,Am Mellensee,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1662
1663,30.08.2019,Gross Kreutz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1663
1664,30.08.2019,Chemnitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1664
1668,30.08.2019,Grimma,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Sonstige,,,,,,,1668
1669,30.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1669
1670,31.08.2019,Leegebruch,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1670
1671,31.08.2019,Prenzlau,0,Links,STGB-303,Sachbeschadigung,AfD,Grune,CDU,Die Linke,,,,1671
1676,31.08.2019,Finsterwalde,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1676
1677,31.08.2019,Templin,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,CDU,,,,,,1677
1680,31.08.2019,Wildau,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,Grune,,,,,,1680
1683,31.08.2019,Wusterhausen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,AfD,,,,,,1683
1686,31.08.2019,Brandenburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,Grune,,,,,,1686
1689,31.08.2019,Michendorf,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1689
1690,31.08.2019,Zwenkau,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1690
1694,31.08.2019,Bischofswerda,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,AfD,SPD,,,,,1694
1697,31.08.2019,Claussnitz,2,Nicht zuzuordnen,STGB-303,Sachbeschadigung,FDP,,,,,,,1697
1698,31.08.2019,Weinbohla,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1698
1699,31.08.2019,Oelsnitz,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1699
1700,31.08.2019,Dresden,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,CDU,Die Linke,,,,,1700
1703,31.08.2019,Kreischa,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1703
1704,31.08.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1704
1705,01.09.2019,Neuruppin,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1705
1706,01.09.2019,Zeuthen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1706
1707,01.09.2019,Cottbus,0,Links,STGB-303,Sachbeschadigung,AfD,Grune,,,,,,1707
1710,01.09.2019,Zeuthen,,Rechts,STGB-303,Sachbeschadigung,FDP,Die Linke,SPD,,,,,1710
1713,01.09.2019,Dobern,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,1713
1714,01.09.2019,Falkensee,0,Links,STGB-303,Sachbeschadigung,AfD,SPD,Grune,FDP,,,,1714
1719,01.09.2019,Fredersdorf-Vogelsdorf,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,1719
1721,01.09.2019,Potsdam,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1721
1722,01.09.2019,Putlitz,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1722
1723,01.09.2019,Chemnitz,2,Links,STGB-303,Sachbeschadigung,CDU,Grune,CDU,,,,,1723
1726,01.09.2019,Borna,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,1726
1730,01.09.2019,Zwickau,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,1730
1731,01.09.2019,Zwickau,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,1731
1732,01.09.2019,Radebeul,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1732
1735,01.09.2019,Bad Gottleuba-Berggiesshübel,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,1735
1736,01.09.2019,Dresden,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1736
1737,02.09.2019,Finsterwalde,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,1737
1738,02.09.2019,Potsdam,0,Nicht zuzuordnen,STGB-242,Diebstahl,Sonstige,,,,,,,1738
1739,02.09.2019,Oppach,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Sonstige,,,,,,,1739
1740,03.09.2019,Glienicke,0,Nicht zuzuordnen,STGB-242,Diebstahl,FDP,,,,,,,1740
