,date,place,suspects,background,law,crime,party_1,party_2,party_3,party_4,party_5,party_6,party_7,id
112,12.07.2019,Lubeck,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,112
114,13.07.2019,Stuttgart,2,Links,STGB-224,Korperverletzung,Grune,,,,,,,114
115,13.07.2019,Stuttgart,1,Links,STGB-223,Korperverletzung,Grune,,,,,,,115
116,14.07.2019,Lenzen,0,Rechts,STGB-303,Sachbeschadigung,SPD,,,,,,,116
117,15.07.2019,Berlin,0,Links,STGB-185,Beleidigung,AfD,,,,,,,117
118,15.07.2019,Dresden,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,118
119,16.07.2019,Salzgitter,0,Nicht zuzuordnen,STGB-241,Bedrohung,Grune,,,,,,,119
120,16.07.2019,Erfurt,0,Links,STGB-240,Notigung,AfD,,,,,,,120
121,17.07.2019,Niedergorsdorf,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,121
122,17.07.2019,Burg,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,CDU,,,,,,,122
123,17.07.2019,Berlin,0,Rechts,STGB-185,Beleidigung,SPD,,,,,,,123
124,17.07.2019,Markkleeberg,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,124
125,17.07.2019,Geithain,0,Links,STG B-303,Sachbeschadigung,AfD,,,,,,,125
126,18.07.2019,Magdeburg,1,Links,STG B-185,Beleidigung,AfD,,,,,,,126
127,18.07.2019,Magdeburg,1,Links,STGB-185,Beleidigung,AfD,,,,,,,127
128,18.07.2019,Berlin,0,Rechts,STGB-241,Bedrohung,Die Linke,,,,,,,128
129,18.07.2019,Niirnberg,0,Links,STGB-303,Sachbeschadigung,CSU,,,,,,,129
132,18.07.2019,Gifhorn,0,Nicht zuzuordnen,STGB-111,Straftaten,AfD,CDU,,,,,,132
133,18.07.2019,Plauen,0,Rechts,STGB-185,Beleidigung,CDU,,,,,,,133
134,19.07.2019,Neuruppin,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,134
135,19.07.2019,Templin,0,Links,STGB-242,Diebstahl,AfD,,,,,,,135
136,19.07.2019,Juterbog,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,136
137,19.07.2019,Wittenberge,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,137
138,19.07.2019,Brieselang,1,Rechts,STGB-303,Sachbeschadigung,Sonstige,,,,,,,138
139,19.07.2019,Bordesholm,0,Rechts,STGB-241,Bedrohung,SPD,,,,,,,139
140,20.07.2019,Luckenwalde,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,140
141,20.07.2019,Dahme,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,141
142,20.07.2019,Berlin,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,142
144,20.07.2019,Munchen,0,Links,STGB-224,Korperverletzung,AfD,,,,,,,144
148,20.07.2019,Glauchau,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,148
149,21.07.2019,Ziesar,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,149
